PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
01M6C,4r1k1/1R4R1/2p5/p6K/P1P1r3/5p2/8/8 b - - 1 40,g8f8 b7f7,1130,79,89,1508,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/IYzZiARd/black#80,,True,https://lichess.org/training/01M6C
02QA4,2r1k3/pR2R3/6pp/1p4r1/1Pp1P3/5P2/P4K2/2q5 b - - 5 42,e8d8 b7d7,1183,164,-49,11,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/0BCLJYQg/black#84,,True,https://lichess.org/training/02QA4
02mPu,5rk1/pp4pp/5q2/3P4/3Pp1p1/6P1/PPQ1R1KP/4Rr2 w - - 1 27,c2e4 f6f2 e2f2 f8f2,2122,78,83,167,endgame mate mateIn2 sacrifice short,https://lichess.org/Uegbhw70#53,,True,https://lichess.org/training/02mPu
04qWI,5k2/5Rb1/6P1/5p2/4r3/1Pp5/P1P2q2/2KR4 b - - 8 41,f8g8 d1d8 e4e8 d8e8 g7f8 e8f8,931,80,88,782,endgame exposedKing long mate mateIn3,https://lichess.org/oLXs9hCZ/black#82,,True,https://lichess.org/training/04qWI
05g7q,8/2p1k3/N4p2/6pp/P3P3/2P2P2/1r4rP/R3RK2 w - - 0 33,a6c7 b2f2,926,91,41,44,endgame mate mateIn1 oneMove,https://lichess.org/iQJ33YzE#65,,True,https://lichess.org/training/05g7q
0730Z,1r6/7k/3b1p1p/q3p1pP/2Bp4/3P1P2/2K3P1/Rr2B2R w - - 0 36,a1a5 b8b2,1075,77,92,530,mate mateIn1 middlegame oneMove,https://lichess.org/LFvLj33q#71,,True,https://lichess.org/training/0730Z
08PNN,7r/p1b1kp2/5p2/P3p3/1P1P2p1/3Q2Pr/5P1P/3R2Kq w - - 0 28,g1h1 h3h2 h1g1 h2h1 g1g2 h8h2,1070,79,93,133,endgame long mate mateIn3,https://lichess.org/dFTbL8D8#55,,True,https://lichess.org/training/08PNN
08kv0,6rk/1p4r1/7p/2Pbbp2/1P1p4/P2B1P1P/1R1N4/4RK2 w - - 6 41,e1e5 g7g1 f1f2 g8g2,830,80,96,784,mate mateIn2 middlegame short,https://lichess.org/ibptoyU0#81,,True,https://lichess.org/training/08kv0
09PIw,5b1r/5ppp/p3pn1k/6R1/P4P2/6K1/2p1N2r/6R1 b - - 1 32,h2e2 g1h1 e2h2 h1h2 f6h5 h2h5,995,80,94,836,endgame exposedKing long mate mateIn3,https://lichess.org/AUFsvI0B/black#64,,True,https://lichess.org/training/09PIw
0AH5m,3r3b/p6p/1p3p1P/5n1k/6R1/2r1BPP1/P5K1/4R3 b - - 1 33,c3e3 e1h1 f5h4 h1h4,1471,74,97,23124,endgame master mate mateIn2 short,https://lichess.org/Mze6VHaE/black#66,,True,https://lichess.org/training/0AH5m
