PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
01DhL,1r4k1/2q3p1/p3R2p/b2p4/1rpP3N/6P1/1PQ1RPP1/6K1 b - - 0 31,b4b2 e6e8 b8e8 e2e8 g8f7 c2g6,1400,75,97,4269,long mate mateIn3 middlegame,https://lichess.org/pT896h9l/black#62,,True,https://lichess.org/training/01DhL
02sI2,3R4/ppp3rk/5Q2/8/2q5/5P2/1P1R2Pr/5K2 w - - 6 34,f1f2 g7g2 f2e3 g2e2 d2e2 h2e2,2046,79,91,1113,endgame long mate mateIn3,https://lichess.org/Gkb35VCD#67,,True,https://lichess.org/training/02sI2
034yb,3r1r1k/p1p2p1P/4p1p1/4P3/2n4Q/P3BK2/q5P1/nR6 b - - 2 26,c4e3 h4f6 h8h7 b1h1 h7g8 h1h8,1157,75,97,1228,exposedKing long mate mateIn3 middlegame,https://lichess.org/k22MElm8/black#52,,True,https://lichess.org/training/034yb
06DT8,4r3/4qk1Q/2p1r1p1/p2p1p2/8/1P3RP1/P1P4P/5RK1 b - - 1 36,f7f6 f3f5 g6f5 f1f5,1894,79,88,1043,endgame mate mateIn2 sacrifice short,https://lichess.org/fNsqG8Jy/black#72,,True,https://lichess.org/training/06DT8
06jNM,r4rk1/2p1R2p/p1p3pQ/q4p2/5P2/8/5PPP/4R1K1 b - - 3 23,f8f7 e7e8 a8e8 e1e8 f7f8 e8f8,926,77,100,327,endgame long mate mateIn3,https://lichess.org/31Qwkbug/black#46,,True,https://lichess.org/training/06jNM
09hgG,k2r4/1p2R3/p4q2/2Q5/2P1K3/4N3/8/8 w - - 0 56,c5c7 d8d4,1509,86,85,654,endgame mate mateIn1 oneMove,https://lichess.org/qWJnxovr#111,,True,https://lichess.org/training/09hgG
0BqfF,5k2/3pp3/p5p1/qp3p2/3PbQ2/P7/1KrB2PP/3R1R2 w - - 0 25,b2b3 a5a4,1150,79,93,2384,mate mateIn1 middlegame oneMove,https://lichess.org/1lZFeGLw#49,,True,https://lichess.org/training/0BqfF
0DTKO,8/p1q2kp1/2p2bQ1/2p2P2/2Pp3N/1Pn5/1r3P2/4R1K1 b - - 1 33,f7f8 e1e8,906,110,100,21,mate mateIn1 middlegame oneMove,https://lichess.org/MalsXp29/black#66,,True,https://lichess.org/training/0DTKO
0EMXg,2k5/pp6/8/2p5/3pP3/P1PPqrr1/1P2Q1P1/R4KR1 w - - 0 29,g2f3 g3g1,889,77,100,601,endgame mate mateIn1 oneMove,https://lichess.org/KM5ldHH0#57,,True,https://lichess.org/training/0EMXg
0ESpP,8/5Qpk/p7/8/2rbP1PP/8/rPq5/KR5R w - - 0 29,a1a2 c4a4,985,94,95,659,endgame mate mateIn1 oneMove,https://lichess.org/1a6lQcxX#57,,True,https://lichess.org/training/0ESpP
0F3Ob,8/6pk/p3Q2p/1p1p1p2/1P1P4/r3P1Pq/5R1P/6K1 w - - 1 40,e6d5 a3a1 f2f1 a1f1,837,107,89,31,endgame mate mateIn2 short,https://lichess.org/3k0YkUHv#79,,True,https://lichess.org/training/0F3Ob
0FAp3,3r1r1k/5p1P/p5p1/1pp1P1Q1/3pR3/P2q1PKP/1P6/8 b - - 2 35,d3f1 g5f6 h8h7 e4h4 h7g8 h4h8,939,92,95,642,endgame exposedKing long mate mateIn3,https://lichess.org/yg89leSu/black#70,,True,https://lichess.org/training/0FAp3
0GXIx,2k5/pp6/2nQ2p1/2Nppqp1/3P4/2P1nP1r/PP3R1p/4R2K w - - 0 33,e1e3 f5b1 e3e1 b1e1 f2f1 e1f1,1016,75,100,1072,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/GVRTMw0Y#65,,True,https://lichess.org/training/0GXIx
0GY5k,2r1r3/1pq1n2k/p2p1Qp1/8/P1B1PP2/3R4/1P4PP/6K1 b - - 0 24,c7c4 d3h3 h7g8 h3h8,1598,74,97,15150,endgame mate mateIn2 short,https://lichess.org/TNB4UWhS/black#48,,True,https://lichess.org/training/0GY5k
0GnqP,2r1k2r/1p6/p1q1pQ2/5b1p/P2R4/2P5/1P3P1P/3R2K1 b - - 0 29,h8h7 d4d8 c8d8 d1d8,1659,75,85,140,mate mateIn2 middlegame short,https://lichess.org/IPjdijwx/black#58,,True,https://lichess.org/training/0GnqP
0HIfF,7k/p1r2rp1/1p2p1Qp/1P1p1p1R/4qP2/4b2R/P1P3PP/7K b - - 1 31,e3c5 h5h6 g7h6 h3h6 f7h7 g6e8 h8g7 h6g6,2376,81,94,7465,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/HBuBTWI0/black#62,,True,https://lichess.org/training/0HIfF
0InvA,6k1/5pp1/qpPBp3/3pP2p/3N3P/2K4Q/r4PP1/r2R3R w - - 5 28,d1a1 a6c4,1681,80,89,4692,mate mateIn1 middlegame oneMove,https://lichess.org/f6UkAYHp#55,,True,https://lichess.org/training/0InvA
0Kqgt,2b2rk1/p4B1p/2pR2pQ/7n/Nr6/8/PPP3qP/2K2R2 b - - 0 18,f8f7 d6d8 f7f8 d8f8,962,77,99,4341,fork mate mateIn2 middlegame short,https://lichess.org/BJGdmEnp/black#36,Sicilian_Defense Sicilian_Defense_Old_Sicilian,True,https://lichess.org/training/0Kqgt
0LhtN,rr2kR2/6pp/p7/3pP3/2p5/Q1P5/P2q2PP/7K b - - 1 29,e8d7 a3d6,1488,76,93,7550,endgame mate mateIn1 oneMove,https://lichess.org/jrtfNPtC/black#58,,True,https://lichess.org/training/0LhtN
0O8b9,5r1k/1Q5p/3pB1p1/4pr2/1P6/P5pq/2P1PP1P/1R3RK1 w - - 0 28,f2g3 f5f1 b1f1 f8f1,846,89,95,548,mate mateIn2 middlegame short,https://lichess.org/0fgjs2zO#55,,True,https://lichess.org/training/0O8b9
0OMus,4r1k1/1p4p1/p3np1p/5P2/P2B4/2P3Q1/1q4P1/4R1K1 b - - 0 28,e6d4 e1e8 g8f7 g3g6,1334,75,97,12593,endgame hangingPiece mate mateIn2 short,https://lichess.org/yVDomY70/black#56,,True,https://lichess.org/training/0OMus
0OcBn,8/3k1rp1/p2p1p2/2pP1P2/2P5/P3Q3/2q3PP/1rB1R1K1 b - - 2 34,c2c4 e3e8 d7c7 e8c6 c7b8 e1e8 b8a7 e8a8,2374,90,89,1119,endgame fork mate mateIn4 veryLong,https://lichess.org/0egIQ5be/black#68,,True,https://lichess.org/training/0OcBn
