PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
00qX2,1r2r2k/Q1R4p/4q1p1/4Bb2/8/8/PP3PPP/3R2K1 b - - 0 28,e6e5 c7h7 h8g8 a7f7,1198,76,92,928,mate mateIn2 middlegame short,https://lichess.org/aDxQAOeN/black#56,,True,https://lichess.org/training/00qX2
012uA,r4r2/p1p2k1R/6R1/3n1pB1/1q1Pb3/8/1P2Q1PP/6K1 b - - 2 35,f7g6 e2h5,1139,77,84,173,mate mateIn1 middlegame oneMove,https://lichess.org/giEyOLMZ/black#70,,True,https://lichess.org/training/012uA
01YV3,1r3rk1/p3R2p/3p2pQ/3q4/3b4/3p4/PP3PPP/1RB4K b - - 3 22,f8f2 h6h7 g8f8 c1h6 d4g7 h7g7,1617,75,97,2214,long mate mateIn3 middlegame,https://lichess.org/UFUflidH/black#44,,True,https://lichess.org/training/01YV3
05NTl,5k2/5p2/p7/2q5/2N1Qp2/3R1Kr1/P4b2/1R6 w - - 2 44,f3f4 c5g5,1242,75,92,1200,mate mateIn1 middlegame oneMove,https://lichess.org/ZACe3RyK#87,,True,https://lichess.org/training/05NTl
06Arl,r3r1k1/3n1R1p/2pq2p1/p3P3/1p6/2n4Q/P1B3PP/4R2K b - - 0 24,d7e5 h3h7,975,78,89,365,mate mateIn1 middlegame oneMove,https://lichess.org/HP6lDWbw/black#48,,True,https://lichess.org/training/06Arl
09PrL,6k1/1p3ppp/p7/2P2Q2/1P3P2/P2r3P/5RP1/q4K2 w - - 1 31,f1e2 a1d1,1108,79,87,187,endgame mate mateIn1 oneMove,https://lichess.org/ogaaJ9Ea#61,,True,https://lichess.org/training/09PrL
09Wht,8/3Q1pk1/8/3p4/p2P1PpP/2P1r2q/R3R3/6K1 w - - 0 41,e2g2 e3e1 g1f2 h3e3,948,77,100,331,endgame mate mateIn2 short,https://lichess.org/lcpbcFG5#81,,True,https://lichess.org/training/09Wht
0Ak8M,5bk1/5p1p/2p4q/4N1p1/3Pp1b1/4P2r/2RQ1P2/2R3K1 w - - 0 37,e5g4 h3h1 g1g2 h6h3,1100,79,93,1370,mate mateIn2 middlegame short,https://lichess.org/aWdAqopw#73,,True,https://lichess.org/training/0Ak8M
0BazR,6k1/1pq4p/p3PR2/3r2p1/8/1Q5P/P5P1/6K1 b - - 1 30,d5b5 e6e7 b5b3 e7e8q g8g7 e8f8,1250,77,92,386,advancedPawn discoveredAttack endgame long mate mateIn3 promotion,https://lichess.org/QHnoiX1b/black#60,,True,https://lichess.org/training/0BazR
0BfeH,6r1/1k6/6r1/1Qp1q3/7p/P4P2/1P5N/3R3K b - - 7 37,b7c7 d1d7 c7c8 b5b7,1591,79,68,51,endgame mate mateIn2 short,https://lichess.org/eUXwNimv/black#74,,True,https://lichess.org/training/0BfeH
0CMZp,r4rk1/1p1n1p2/p2pbR1R/4q3/P3P2Q/3B4/1PP3PP/6K1 b - - 4 22,d7f6 h6h8 g8g7 h4h6,1287,76,86,304,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/wGfK22mF/black#44,,True,https://lichess.org/training/0CMZp
0CbRj,8/6pk/p7/Pp1Q3p/1P1P1P1P/6P1/5RK1/3q2r1 w - - 1 41,g2h3 d1g4 h3h2 g4g3,1842,84,83,57,endgame mate mateIn2 short,https://lichess.org/OpIcQvqS#81,,True,https://lichess.org/training/0CbRj
0DUN7,r1b2r2/ppp3kR/2n2qP1/4n3/2B1Pp2/2P5/PP1N1PP1/R2QK3 b Q - 2 18,g7g6 d1h5,868,139,83,20,mate mateIn1 middlegame oneMove,https://lichess.org/1lt2E3nd/black#36,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense,True,https://lichess.org/training/0DUN7
0GyrX,r2q1rkR/p2p1p2/bp2p3/7Q/2P1P3/2Nn4/PP3PP1/R4K2 b - - 3 17,g8g7 h5h6,1379,76,88,140,mate mateIn1 middlegame oneMove,https://lichess.org/YvBsW5BK/black#34,Benoni_Defense Benoni_Defense_Old_Benoni,True,https://lichess.org/training/0GyrX
0Hj43,6k1/p1p3p1/1P1p2qp/3Pp3/2P5/2P4P/1R1Q1rr1/5R1K w - - 0 26,f1f2 g2g1 h1h2 g6g3,1214,98,86,23,endgame mate mateIn2 short,https://lichess.org/v2gaX3Ni#51,,True,https://lichess.org/training/0Hj43
0Hmms,r6k/4Q2R/pp1p1p1p/6q1/P2p2P1/1P1P3P/2P5/6K1 b - - 3 25,h8g8 e7f7,1469,224,72,36,endgame mate mateIn1 oneMove,https://lichess.org/75tDgvMS/black#50,,True,https://lichess.org/training/0Hmms
0IRvh,5Q2/3q3p/5Rk1/4p3/1P6/4n1rP/P5P1/3rR2K b - - 6 37,g6g5 f8h6,1375,75,100,542,mate mateIn1 middlegame oneMove,https://lichess.org/nOkLSo8D/black#74,,True,https://lichess.org/training/0IRvh
0JXSB,8/pkp5/1p3R2/4PQ1p/4q3/7P/PP3Kr1/8 w - - 6 37,f2f1 e4e2,941,90,95,227,endgame mate mateIn1 oneMove,https://lichess.org/WSxc45hC#73,,True,https://lichess.org/training/0JXSB
0MDey,r3rbk1/3Q3R/2p3pB/p2pq3/4n3/8/P5PP/R6K b - - 0 29,f8h6 d7f7,1070,77,95,5671,mate mateIn1 middlegame oneMove,https://lichess.org/d4o4RXa2/black#58,,True,https://lichess.org/training/0MDey
0NKxM,5r1k/pp4R1/4pr1p/3p3P/1P1q1PR1/P5Q1/4KP2/8 b - - 2 28,f6f4 g7g8 f8g8 g4g8 h8h7 g3g6,1505,76,94,3073,endgame exposedKing long mate mateIn3,https://lichess.org/5dgjzcpS/black#56,,True,https://lichess.org/training/0NKxM
0NPSx,3r3k/p5p1/1pp4p/5R2/P1P1P3/6qP/1PQ3P1/5K2 w - - 3 37,c2f2 d8d1 f1e2 g3d3,1417,78,96,17177,endgame mate mateIn2 short,https://lichess.org/aPAm2p30#73,,True,https://lichess.org/training/0NPSx
0NVhq,8/p1Q2k2/1p3b2/2p4R/6pP/2P5/PP1rq3/6K1 b - - 14 42,f7g6 c7h7,1178,78,86,69,endgame mate mateIn1 oneMove,https://lichess.org/ohRAjIHz/black#84,,True,https://lichess.org/training/0NVhq
0NgPE,8/pQ6/2pkr3/3q4/6P1/2PN2Kr/P1P2P2/8 w - - 0 37,g3h3 d5f3 h3h4 e6h6 h4g5 f3f6,1865,79,92,1467,endgame long mate mateIn3,https://lichess.org/GsHuVtiG#73,,True,https://lichess.org/training/0NgPE
0OsM4,3r4/1q4pk/6p1/p3R1P1/5P2/1P2Q3/7K/8 b - - 1 40,d8d1 e3h3 h7g8 e5e8 g8f7 h3e6,961,81,89,421,endgame long mate mateIn3,https://lichess.org/vjj5bKys/black#80,,True,https://lichess.org/training/0OsM4
0Ozx4,3r2k1/pb2R3/1p1B3p/2pq2p1/8/2P3P1/P1Q3PP/6K1 b - - 3 33,d8d6 c2h7 g8f8 h7g7,1399,75,96,24089,endgame mate mateIn2 short,https://lichess.org/yExzM8LZ/black#66,,True,https://lichess.org/training/0Ozx4
0P5X0,7k/pp3Q2/7p/5N2/4q3/2P3K1/PP4r1/5R2 w - - 5 31,g3h3 e4g4,1087,77,100,318,endgame master mate mateIn1 oneMove,https://lichess.org/bALzzu54#61,,True,https://lichess.org/training/0P5X0
0PIA7,4r1k1/pp3pP1/1bp5/4qb2/4N3/3P1p2/PP1Q4/1K3B1R b - - 1 30,f5e4 h1h8 g8g7 d2h6,1610,75,92,777,mate mateIn2 middlegame short,https://lichess.org/dkjh3nUl/black#60,,True,https://lichess.org/training/0PIA7
0Q731,5q1k/p5pp/8/3Q4/P2P4/6P1/1r3r1P/3RR2K w - - 1 34,h2h4 f2h2 h1g1 f8f2,1287,75,93,5041,endgame mate mateIn2 short,https://lichess.org/fiTxy9Lm#67,,True,https://lichess.org/training/0Q731
0R0wR,4k3/p1R1np2/3np2p/Pq1pN2Q/2RP4/4P2P/6rr/5K2 b - - 7 35,d6c4 h5f7 e8d8 f7e7,1368,75,98,4569,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/IzrSFokY/black#70,,True,https://lichess.org/training/0R0wR
0RE7e,8/8/p2Q4/1p6/4p3/3kq3/r5PP/5R1K b - - 4 57,d3e2 d6d1,1214,285,82,24,endgame mate mateIn1 oneMove,https://lichess.org/EWFrHIW7/black#114,,True,https://lichess.org/training/0RE7e
0SBK1,8/2r1p2Q/1q1p1p2/p2PnP1k/1p2PR2/P7/1P4P1/7K b - - 0 34,h5g5 h7h4,1016,78,96,641,endgame mate mateIn1 oneMove,https://lichess.org/UAUcV75i/black#68,,True,https://lichess.org/training/0SBK1
0SpON,r3r1k1/ppp2pPR/2n2b2/3q4/5Q2/3B4/1pP2PP1/1K1R2N1 b - - 2 18,d5a5 h7h8 g8g7 f4h6,1349,75,96,8668,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Akjv0ys7/black#36,French_Defense French_Defense_Exchange_Variation,True,https://lichess.org/training/0SpON
0SuI8,3r2kR/2p2p2/1p1q1p2/pP1p4/P2Pr2Q/4P2P/2P3P1/3N2K1 b - - 2 29,g8g7 h4h6,967,90,100,49,endgame mate mateIn1 oneMove,https://lichess.org/T7BQFTs8/black#58,,True,https://lichess.org/training/0SuI8
0T3JL,r2r3k/p1Q2R2/1p4pp/8/5P2/3b4/Pq4PP/5RK1 b - - 3 28,d3f1 f7h7 h8g8 c7f7,1265,76,93,2468,endgame mate mateIn2 short,https://lichess.org/rch3kDsF/black#56,,True,https://lichess.org/training/0T3JL
0Tcen,rnbq1r2/ppp1p1kR/3p2P1/4P3/2nP4/2N5/PPP3P1/R2QK1N1 b Q - 1 14,g7g6 d1h5,986,78,100,144,mate mateIn1 oneMove opening,https://lichess.org/Q69VeJnc/black#28,Modern_Defense Modern_Defense_Standard_Defense,True,https://lichess.org/training/0Tcen
0U3ri,r2q1rkR/5p2/p1pp4/4pbn1/2B1P1PQ/2N5/PPP2PK1/8 b - - 1 33,g8g7 h4h6,1174,76,89,242,mate mateIn1 middlegame oneMove,https://lichess.org/jfePFmiQ/black#66,,True,https://lichess.org/training/0U3ri
0UwcT,1kq4r/p1n1R3/1pQp3r/2p5/8/P1N2N2/1PP2PP1/3R2K1 w - - 7 32,g2g3 h6h1 g1g2 c8h3,1551,75,76,2168,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ltlT53Gd#63,,True,https://lichess.org/training/0UwcT
0VQlf,r3r3/pp3p1p/2k5/2bR4/Q1P5/4q3/PP4PP/1K6 b - - 2 27,c6b6 a4b5 b6c7 d5d7 c7c8 b5b7,1951,75,85,425,endgame exposedKing long mate mateIn3,https://lichess.org/jzjkfYYU/black#54,,True,https://lichess.org/training/0VQlf
0VRNw,rnR3nr/pk5p/B3Q3/2p3q1/8/2P5/PP4PP/7K b - - 6 24,b8a6 e6c6,1298,247,48,26,mate mateIn1 middlegame oneMove,https://lichess.org/PcJrNG5B/black#48,,True,https://lichess.org/training/0VRNw
0VWkH,2rqr1k1/p4Rpp/2p2R2/2Pp2p1/B7/4P2P/PPQ5/1K6 b - - 0 29,g7f6 c2h7,817,89,92,217,endgame master mate mateIn1 oneMove,https://lichess.org/HV8b4I8F/black#58,,True,https://lichess.org/training/0VWkH
0YKCy,6k1/p4pq1/7R/1p1r2P1/4Q3/2P5/P1K2P2/8 b - - 0 32,g7g5 e4e8 g8g7 e8h8,1694,74,93,523,endgame mate mateIn2 short,https://lichess.org/8PeYKS3Y/black#64,,True,https://lichess.org/training/0YKCy
0YjX0,8/p4p1k/6pp/8/4Q2P/P5P1/1q5r/2R1R1K1 w - - 1 26,a3a4 b2f2,1513,92,85,836,endgame mate mateIn1 oneMove,https://lichess.org/h2AszJiC#51,,True,https://lichess.org/training/0YjX0
0ZUYD,8/ppk4Q/2nN1pr1/2R1p3/4P3/P5P1/1q3PKP/7r b - - 5 28,c7d6 c5d5 d6e6 h7d7,1268,166,58,27,endgame mate mateIn2 short,https://lichess.org/6IGrpqpn/black#56,,True,https://lichess.org/training/0ZUYD
0aLhq,r1bk1b1r/pp1Rn2p/5N2/8/8/5Q2/PPq3PP/3R2K1 b - - 0 19,c8d7 d1d7 d8c8 f3b7,871,196,88,27,mate mateIn2 middlegame short,https://lichess.org/DxzBhkQR/black#38,Kings_Gambit_Accepted Kings_Gambit_Accepted_Double_Muzio_Gambit,True,https://lichess.org/training/0aLhq
0b3mE,7k/p2B1p1p/7q/4p2r/3PP1n1/PR3N2/5PP1/3Q1RK1 w - - 1 24,g2g3 h5h1 g1g2 h6h3,1423,74,96,20218,mate mateIn2 middlegame short,https://lichess.org/le5DKR8r#47,,True,https://lichess.org/training/0b3mE
0ba8n,6rk/1p4rp/p3R3/4PQ2/2pP1R2/6P1/7P/4q1K1 w - - 1 35,g1g2 g7g3 h2g3 g8g3 g2h2 e1g1,1968,74,94,11475,endgame long mate mateIn3 sacrifice,https://lichess.org/2XzyquSv#69,,True,https://lichess.org/training/0ba8n
0dY6y,r5r1/1pQ5/p4k1R/3p4/P3p1q1/1PP1P3/2K5/8 b - - 7 37,f6f5 c7f7 f5g5 f7f6,1578,74,100,141,endgame mate mateIn2 short,https://lichess.org/YqPT1hML/black#74,,True,https://lichess.org/training/0dY6y
0dqoW,7k/1p4b1/p1pQ4/P6p/5RPq/2P4P/1P2r2K/3R4 w - - 1 32,h2g1 h4g3 g1f1 g3g2,1398,91,87,54,endgame mate mateIn2 short,https://lichess.org/Mk8iW7zc#63,,True,https://lichess.org/training/0dqoW
0eOtw,r4rk1/bpp1qp2/p3p2R/2n1P2Q/2N1b2P/2P3P1/5P2/4R1K1 b - - 2 27,e4g6 h6h8 g8g7 h5h6,1161,75,100,148,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/TdEfhod0/black#54,,True,https://lichess.org/training/0eOtw
0edi3,r3rb2/ppp2pRk/5n1B/8/8/P4PQ1/1PP2PKP/RN1q4 b - - 2 22,h7h6 g3g5,1046,77,89,461,mate mateIn1 middlegame oneMove,https://lichess.org/OpQVCjEf/black#44,,True,https://lichess.org/training/0edi3
0emxj,6k1/pb4r1/8/1p6/2p5/P3qP1Q/1P1R2P1/4RK2 b - - 0 38,e3d2 e1e8 g8f7 h3e6,1178,76,88,226,endgame mate mateIn2 short,https://lichess.org/dzkQNq4C/black#76,,True,https://lichess.org/training/0emxj
0exsL,3r2k1/p1p2pp1/7p/8/2Q1Pq2/2P5/P3KPPP/5B1R w - - 3 21,g2g3 d8d2 e2e1 f4f2,1528,76,89,1799,attackingF2F7 endgame mate mateIn2 short,https://lichess.org/yORnV2Qk#41,,True,https://lichess.org/training/0exsL
0f37X,6k1/8/6p1/3R1p2/6K1/3Q1P1P/P4qP1/4r3 w - - 0 38,g4g5 f2g3 g5f6 g3h4 f6g6 e1e6 g6f5 e6f6 f5e5 h4f4,2065,76,95,3181,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/1f0HMVt5#75,,True,https://lichess.org/training/0f37X
0fNFi,1Q4k1/2p2pb1/r1qp3p/4pPp1/8/1K3NP1/1P3PP1/3R4 b - - 5 30,g8h7 f3g5 h6g5 d1h1 g7h6 h1h6 h7g7 b8h8,1554,76,87,501,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/rzDKA6cY/black#60,,True,https://lichess.org/training/0fNFi
0g4VT,7k/6p1/P2p3p/1BpPp3/7q/R2Q4/5rKP/1R6 w - - 1 45,g2g1 h4h2,855,76,97,212,endgame master mate mateIn1 oneMove,https://lichess.org/WGFDhNfQ#89,,True,https://lichess.org/training/0g4VT
