PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
02vo8,2R2bk1/5p1p/3p1p1Q/3P4/7P/q5P1/4R1K1/2n5 b - - 0 43,c1e2 c8f8,586,85,68,66,endgame mate mateIn1 oneMove,https://lichess.org/u4Mt9d1Q/black#86,,TRUE,https://lichess.org/training/02vo8
05Gmu,2r2rkR/2qb1pP1/4p3/pp2P1P1/8/2p1PQ2/PP3P2/2KR4 b - - 2 26,g8g7 f3f6,1171,97,88,79,mate mateIn1 middlegame oneMove,https://lichess.org/6yy0ES9D/black#52,,TRUE,https://lichess.org/training/05Gmu
070BV,2rkRr2/2p3pp/2Qp1p2/3P2b1/3B2q1/8/PPP2PP1/1K2R3 b - - 7 26,f8e8 e1e8,663,103,100,27,mate mateIn1 middlegame oneMove,https://lichess.org/94sX3geW/black#52,,TRUE,https://lichess.org/training/070BV
08TXc,6k1/1b2rp1R/5Q2/p1pPr3/2P3P1/8/P4PK1/1Bq5 b - - 4 39,c1g5 h7h8,1054,77,100,204,mate mateIn1 middlegame oneMove,https://lichess.org/H6n9P8lY/black#78,,TRUE,https://lichess.org/training/08TXc
0AcOR,2R1k1r1/pq1r1p2/4bQ1p/6p1/3P4/1P4b1/P4PPP/2R3K1 b - - 1 26,b7c8 c1c8 d7d8 c8d8,875,84,97,310,hangingPiece mate mateIn2 middlegame short,https://lichess.org/kGgvjYBV/black#52,,TRUE,https://lichess.org/training/0AcOR
0Bd0K,Q1kr4/4bp1p/1p1q4/2nP2r1/8/4PP2/3N3P/RR5K b - - 6 29,d6b8 a8c6 b8c7 a1a8,1350,76,93,276,clearance mate mateIn2 middlegame queensideAttack short,https://lichess.org/cPwUQfC1/black#58,,TRUE,https://lichess.org/training/0Bd0K
0DCCk,4rr1k/p1p3pp/3q4/3Q4/3B4/2N3bP/PPP2P2/5RK1 w - - 4 26,f2g3 d6g3 d5g2 f8f1 g1f1 e8e1,1334,75,99,3133,attraction exposedKing long mate mateIn3 middlegame pin,https://lichess.org/UQmmLW8c#51,,TRUE,https://lichess.org/training/0DCCk
0GSX1,8/1k4pp/1pp1p3/p3P2r/P2Q1P2/6P1/1P6/2R1RK1q w - - 2 32,d4g1 h1f3 g1f2 h5h1,1236,74,98,911,clearance endgame mate mateIn2 short,https://lichess.org/dxWAn8JM#63,,TRUE,https://lichess.org/training/0GSX1
0IKff,2R1k3/5r1p/p2p1n2/3Pp1Q1/8/1P3P2/P3q3/6K1 b - - 6 37,e8d7 g5f5 d7e7 f5e6,1432,75,100,283,endgame mate mateIn2 short,https://lichess.org/oMOC5UUS/black#74,,TRUE,https://lichess.org/training/0IKff
0L1f7,1r5r/2q2pbk/pn2p1pB/1p2P3/3Pb2Q/5PP1/P5K1/7R b - - 0 28,c7c3 h6g7 h7g7 h4f6 g7g8 h1h8,1948,78,92,345,attraction discoveredAttack long mate mateIn3 middlegame,https://lichess.org/KLtLEhhv/black#56,,TRUE,https://lichess.org/training/0L1f7
0LLRR,1r6/6pp/5p2/Q2bk3/1r2pnB1/6P1/7P/2R3K1 b - - 0 33,f4d3 a5c7 e5d4 c7c3 d4e3 c1e1,1720,75,53,121,long mate mateIn3 middlegame pin,https://lichess.org/cwdzlhD1/black#66,,FALSE,https://lichess.org/training/0LLRR
0MVRt,3r4/1Qp2pk1/p6p/P7/8/2P3Pq/4PR1P/6K1 w - - 1 29,b7c7 d8d1 f2f1 d1f1,925,129,67,24,endgame mate mateIn2 short,https://lichess.org/6GTkjf32#57,,TRUE,https://lichess.org/training/0MVRt
0Ow6e,3rR1k1/1bq3b1/p5Q1/2p4n/8/1PN5/PB1r2PP/4R1K1 b - - 2 26,d8e8 e1e8,1137,103,100,44,mate mateIn1 middlegame oneMove,https://lichess.org/eZx6xSie/black#52,,TRUE,https://lichess.org/training/0Ow6e
0PAVb,6k1/pp1r1p1P/4nQp1/8/6R1/2P5/P5PK/3r4 b - - 0 32,g8h7 g4h4 h7g8 h4h8,1719,278,100,17,endgame mate mateIn2 short,https://lichess.org/xlJArwGE/black#64,,TRUE,https://lichess.org/training/0PAVb
0QlAD,6k1/1p3p1p/p1pr1BbQ/2q1p3/4P3/5PK1/8/3R4 b - - 0 38,d6f6 d1d8 c5f8 d8f8,736,80,90,129,endgame mate mateIn2 short,https://lichess.org/Wp0FQX7g/black#76,,TRUE,https://lichess.org/training/0QlAD
0RNKo,1k2R3/2p2r1p/p1Qp2p1/1p4P1/2r2q2/2R5/PPP5/1K6 b - - 7 33,b8a7 e8a8,1595,78,91,1257,endgame mate mateIn1 oneMove,https://lichess.org/6Mdn6YHz/black#66,,TRUE,https://lichess.org/training/0RNKo
0RpgG,r2qr3/pp2bQpk/1np5/3pR3/3P4/2P4P/PP1N1PP1/R5K1 b - - 0 16,e7f6 e5h5,1277,75,97,516,mate mateIn1 middlegame oneMove,https://lichess.org/2oUWbIJw/black#32,French_Defense French_Defense_Exchange_Variation,TRUE,https://lichess.org/training/0RpgG
0T23A,6k1/r2r3q/1p2pQRp/3p4/3P4/2P4P/5PP1/6K1 b - - 0 32,d7g7 f6d8 g8f7 g6f6,1559,92,100,60,endgame mate mateIn2 short,https://lichess.org/0IS2owIu/black#64,,TRUE,https://lichess.org/training/0T23A
0TP4Q,3r3r/1k4p1/2p3pp/RpbqQ3/5B2/P6P/1P3PP1/R5K1 b - - 3 28,g6g5 e5c7,1220,76,79,182,mate mateIn1 middlegame oneMove,https://lichess.org/pQlodQhm/black#56,,TRUE,https://lichess.org/training/0TP4Q
