PuzzleId,puzzle_ref,Rook_Knight,Error,Processed_Comment
02vo8,https://lichess.org/training/02vo8,TRUE,False,"Processing row 0: 2025-11-06 17:49:48.694951 -> Puzzle 02vo8 - URL https://lichess.org/training/02vo8, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
05Gmu,https://lichess.org/training/05Gmu,TRUE,False,"Processing row 1: 2025-11-06 17:50:37.654581 -> Puzzle 05Gmu - URL https://lichess.org/training/05Gmu, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
070BV,https://lichess.org/training/070BV,TRUE,False,"Processing row 2: 2025-11-06 17:50:38.972741 -> Puzzle 070BV - URL https://lichess.org/training/070BV, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
08TXc,https://lichess.org/training/08TXc,TRUE,False,"Processing row 3: 2025-11-06 17:50:40.138332 -> Puzzle 08TXc - URL https://lichess.org/training/08TXc, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0AcOR,https://lichess.org/training/0AcOR,TRUE,False,"Processing row 4: 2025-11-06 17:50:41.311059 -> Puzzle 0AcOR - URL https://lichess.org/training/0AcOR, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0Bd0K,https://lichess.org/training/0Bd0K,TRUE,False,"Processing row 5: 2025-11-06 17:50:42.537266 -> Puzzle 0Bd0K - URL https://lichess.org/training/0Bd0K, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0DCCk,https://lichess.org/training/0DCCk,TRUE,False,"Processing row 6: 2025-11-06 17:50:43.803908 -> Puzzle 0DCCk - URL https://lichess.org/training/0DCCk, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0GSX1,https://lichess.org/training/0GSX1,TRUE,False,"Processing row 7: 2025-11-06 17:50:45.083211 -> Puzzle 0GSX1 - URL https://lichess.org/training/0GSX1, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0IKff,https://lichess.org/training/0IKff,TRUE,False,"Processing row 8: 2025-11-06 17:50:46.489858 -> Puzzle 0IKff - URL https://lichess.org/training/0IKff, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0L1f7,https://lichess.org/training/0L1f7,TRUE,False,"Processing row 9: 2025-11-06 17:50:47.730834 -> Puzzle 0L1f7 - URL https://lichess.org/training/0L1f7, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0LLRR,https://lichess.org/training/0LLRR,FALSE,False,X
