PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
00VIe,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1974,79,94,16548,endgame mate mateIn1 oneMove,https://lichess.org/ugqyRWZm#119,,True,https://lichess.org/training/00VIe
00yzf,3rk3/3N2R1/4P1pr/3pP3/2p5/6p1/PP6/2K5 b - - 3 29,g3g2 d7f6 e8f8 g7f7,1877,85,100,31,endgame mate mateIn2 short,https://lichess.org/OIVHVypq/black#58,,True,https://lichess.org/training/00yzf
06MoJ,6R1/1P6/8/7p/4P2P/4kn2/1r6/5K2 w - - 3 39,b7b8q b2f2,1466,91,84,85,endgame master mate mateIn1 oneMove,https://lichess.org/jZ0m8W9k#77,,True,https://lichess.org/training/06MoJ
06l4B,1k6/1p6/1Qn5/PN1p4/5b2/7P/1Pr1KP2/8 w - - 0 34,e2d3 c6b4 d3d4 c2c4,1958,79,78,469,endgame mate mateIn2 short,https://lichess.org/TZA9RwgR#67,,True,https://lichess.org/training/06l4B
07uNx,3Q4/5pkp/4P1p1/8/7P/6P1/rr3n2/5RK1 w - - 0 34,e6f7 f2h3 g1h1 b2h2,965,78,97,4095,endgame mate mateIn2 short,https://lichess.org/93vBHQOE#67,,True,https://lichess.org/training/07uNx
0AOVc,2RQ4/5pkp/6p1/8/4P3/7n/4rr1P/3R2K1 w - - 9 35,g1h1 f2h2,1097,75,99,2039,endgame mate mateIn1 oneMove,https://lichess.org/slJUjTXv#69,,True,https://lichess.org/training/0AOVc
0BbRw,r2k2r1/4R1p1/pnNB1nbp/8/8/2P5/PP3PPP/R2K4 b - - 0 20,d8c8 e7c7,999,107,100,30,mate mateIn1 middlegame oneMove,https://lichess.org/lV62lhzw/black#40,,True,https://lichess.org/training/0BbRw
0FhIh,8/p2r4/4p1kp/2p1Np2/6Pb/2Pr4/PP3RK1/5R2 b - - 1 30,g6g5 f2f5 e6f5 f1f5,1959,77,95,11377,endgame mate mateIn2 sacrifice short,https://lichess.org/DVUPuN2b/black#60,,True,https://lichess.org/training/0FhIh
0GbTT,8/8/R4NP1/1p6/1P5k/6n1/2r5/6K1 w - - 1 44,g6g7 h4h3 a6a2 c2a2 g7g8q a2g2,2018,133,100,13,endgame long mate mateIn3,https://lichess.org/SmljsZj5#87,,True,https://lichess.org/training/0GbTT
0IKMV,7k/6p1/p1b4p/2P2n2/PP1B1P2/2P4r/8/R3R1K1 w - - 0 31,b4b5 h3h1 g1f2 h1h2 f2f1 f5g3 f1g1 h2g2,2133,76,95,8185,endgame exposedKing mate mateIn4 veryLong,https://lichess.org/JC8souUh#61,,True,https://lichess.org/training/0IKMV
0NQX4,5rk1/3RRNbp/2r1n1p1/8/P7/5P2/5P1P/6K1 b - - 0 29,g7f6 f7h6 g8h8 e7h7,1177,125,67,13,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/A6cNR1tU/black#58,,True,https://lichess.org/training/0NQX4
0RMVy,2r5/1p4k1/p3p1p1/6N1/1P3Pn1/P3n1r1/8/R1R4K w - - 0 35,c1c8 g4f2 h1h2 g3g2,1664,75,94,9799,endgame mate mateIn2 short,https://lichess.org/R5ccyjBj#69,,True,https://lichess.org/training/0RMVy
0RSjb,8/5k2/1P2R3/3p1p2/3N1P2/2P1p1P1/1r3n2/3K4 w - - 1 58,d1c1 f2d3 c1d1 b2d2,1878,75,91,3197,endgame mate mateIn2 short,https://lichess.org/YGZ2JhDK#115,,True,https://lichess.org/training/0RSjb
0U0pa,8/6p1/4B2P/p1p2P2/2P4P/5nk1/2r5/1R3K2 w - - 1 41,e6d5 c2f2,2002,76,91,671,endgame master mate mateIn1 oneMove,https://lichess.org/Mc9ogSGm#81,,True,https://lichess.org/training/0U0pa
0XVKu,4rr1k/2pR1N2/p7/2n5/1p6/8/2B2PPP/5K2 b - - 3 38,h8g8 f7h6 g8h8 d7h7,1634,201,0,6,endgame mate mateIn2 short,https://lichess.org/ofvrezc1/black#76,,True,https://lichess.org/training/0XVKu
0Yutf,6k1/R3R3/p2B2pb/1p6/8/3n1P2/2r4P/4K3 w - - 3 33,e1d1 c2d2,1663,85,86,2190,endgame master mate mateIn1 oneMove,https://lichess.org/Qxn7vDGe#65,,True,https://lichess.org/training/0Yutf
0aXag,2r5/5p1p/b3p1p1/6R1/3BkP2/2K1n2P/5P2/R7 w - - 0 34,c3d2 c8c2 d2e1 c2e2,1632,75,89,78,endgame mate mateIn2 short,https://lichess.org/36hHXzKy#67,,True,https://lichess.org/training/0aXag
0ep1R,2k2r2/ppp2PpN/2p1K1n1/8/7p/8/PP3r1B/R3R3 w - - 0 30,h7f8 f2f6,1745,76,96,1191,endgame mate mateIn1 oneMove,https://lichess.org/1ThchrTy#59,,True,https://lichess.org/training/0ep1R
0esy1,7r/bp4p1/p2P2k1/3R1p2/2B1p1p1/1PB2nPr/P4PKP/7R w - - 14 37,d6d7 h3h2 h1h2 h8h2 g2f1 h2f2,1555,76,93,594,long mate mateIn3 middlegame,https://lichess.org/x7juh2aE#73,,True,https://lichess.org/training/0esy1
