PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
02tYt,2k5/1RR3pp/2p5/p1N1p2n/P7/1P5P/2nr4/3r1NK1 b - - 6 28,c8d8 c5e6 d8e8 c7e7,2123,77,99,383,mate mateIn2 middlegame short,https://lichess.org/FrBU2zhL/black#56,,True,https://lichess.org/training/02tYt
05qga,r1b1k2r/pp4pp/2pB4/n3N3/3P4/8/P4PPP/4R1K1 b - - 0 18,e8d8 e5f7 d8d7 e1e7,1619,75,90,408,fork mate mateIn2 middlegame short,https://lichess.org/gUYheFLE/black#36,Italian_Game Italian_Game_Classical_Variation,True,https://lichess.org/training/05qga
09k95,1r5r/p3kp2/bqp1pNp1/2b1P1Np/2Pp1P2/1P2Q3/PB4PP/2KR3R b - - 0 18,d4e3 d1d7 e7f8 d7f7,1383,77,93,1749,mate mateIn2 middlegame short,https://lichess.org/6Bkmk2D1/black#36,French_Defense French_Defense_Advance_Variation,True,https://lichess.org/training/09k95
09pYV,7k/8/5K1N/p5RP/r1p5/3n4/8/8 b - - 1 44,c4c3 h6f7 h8h7 g5g7,1497,75,86,129,endgame mate mateIn2 short,https://lichess.org/WG2uumFD/black#88,,True,https://lichess.org/training/09pYV
0DK93,8/8/6R1/4Npkp/3p4/3Kp3/r6P/8 b - - 1 43,g5h4 e5f3 h4h3 g6g3,1260,77,94,545,endgame mate mateIn2 short,https://lichess.org/98F9OHCj/black#86,,True,https://lichess.org/training/0DK93
0GLfa,4Q3/8/kp3p2/5n2/3P4/2P4p/5r2/7K w - - 10 50,c3c4 f5g3 h1g1 f2g2,1964,81,100,55,endgame mate mateIn2 short,https://lichess.org/7D8uiPeV#99,,True,https://lichess.org/training/0GLfa
0IyDQ,3r1k2/1Q2bp1p/p3p1p1/1n2Pn2/B1p1NP2/8/PP4PP/1K6 w - - 3 25,a4b5 d8d1 b1c2 f5e3 c2c3 d1d3,1828,75,90,189,endgame long mate mateIn3 queensideAttack,https://lichess.org/eToWiEaI#49,,True,https://lichess.org/training/0IyDQ
0Qbdg,8/1pp1BP1k/p7/7P/2P5/1P4n1/3r1r2/R5K1 w - - 3 38,f7f8q f2g2,1423,74,97,2027,endgame mate mateIn1 oneMove,https://lichess.org/IIiMxCuh#75,,True,https://lichess.org/training/0Qbdg
0kkoE,2n5/p5kR/6p1/5bN1/1p2NP2/8/1P1K2PP/7q b - - 3 33,g7g8 e4f6 g8f8 h7f7,1659,74,98,1772,endgame mate mateIn2 short,https://lichess.org/Mcy1hCgz/black#66,,True,https://lichess.org/training/0kkoE
0svae,7k/pp4p1/7p/2N5/8/1B2n2P/PPP1nrP1/R6K w - - 0 22,a1e1 e2g3 h1g1 f2g2,1434,74,97,1175,endgame mate mateIn2 short,https://lichess.org/qxArKqpU#43,,True,https://lichess.org/training/0svae
0tkbi,r6r/1p4pp/p5b1/1B2R3/P1Nn4/2RP4/kP3PPP/6K1 b - - 0 25,a6b5 c3a3 a2b1 e5e1 b1c2 a3c3,1567,80,64,88,long mate mateIn3 middlegame,https://lichess.org/EtyayC54/black#50,,True,https://lichess.org/training/0tkbi
0v0Rp,r7/8/4N1pp/4Pp1k/2P1Q3/r3p2P/8/6RK b - - 0 44,f5e4 e6f4 h5h4 g1g4,1707,74,86,81,endgame mate mateIn2 short,https://lichess.org/pAJvFmuo/black#88,,True,https://lichess.org/training/0v0Rp
0zvoj,r6r/p3kp1p/npN3p1/2nRPp2/2P5/8/PP4PP/4KB1R b K - 1 18,e7e6 d5d6,1333,76,100,636,mate mateIn1 middlegame oneMove,https://lichess.org/wGwaKmxE/black#36,Alekhine_Defense Alekhine_Defense_Four_Pawns_Attack,True,https://lichess.org/training/0zvoj
10m7R,2r2k2/pp4Rp/3nNB2/8/3P4/P6P/1r3P2/5K2 b - - 0 35,f8e8 g7e7,1558,75,30,151,endgame master mate mateIn1 oneMove,https://lichess.org/MQQBQEn1/black#70,,True,https://lichess.org/training/10m7R
