PuzzleId,puzzle_ref,Rook_Knight,Error,Processed_Comment
02tYt,https://lichess.org/training/02tYt,TRUE,False,"Processing row 0: 2025-11-06 12:33:36.996510 -> Puzzle 02tYt - URL https://lichess.org/training/02tYt, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
05qga,https://lichess.org/training/05qga,TRUE,False,"Processing row 1: 2025-11-06 12:33:38.206507 -> Puzzle 05qga - URL https://lichess.org/training/05qga, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
09k95,https://lichess.org/training/09k95,TRUE,False,"Processing row 2: 2025-11-06 12:33:39.350083 -> Puzzle 09k95 - URL https://lichess.org/training/09k95, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
09pYV,https://lichess.org/training/09pYV,TRUE,False,"Processing row 3: 2025-11-06 12:33:40.514085 -> Puzzle 09pYV - URL https://lichess.org/training/09pYV, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0DK93,https://lichess.org/training/0DK93,TRUE,False,"Processing row 4: 2025-11-06 12:33:41.646838 -> Puzzle 0DK93 - URL https://lichess.org/training/0DK93, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0GLfa,https://lichess.org/training/0GLfa,TRUE,False,"Processing row 5: 2025-11-06 12:33:42.778141 -> Puzzle 0GLfa - URL https://lichess.org/training/0GLfa, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0IyDQ,https://lichess.org/training/0IyDQ,TRUE,False,"Processing row 6: 2025-11-06 12:33:43.904433 -> Puzzle 0IyDQ - URL https://lichess.org/training/0IyDQ, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0Qbdg,https://lichess.org/training/0Qbdg,TRUE,False,"Processing row 7: 2025-11-06 12:33:45.057369 -> Puzzle 0Qbdg - URL https://lichess.org/training/0Qbdg, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0kkoE,https://lichess.org/training/0kkoE,TRUE,False,"Processing row 8: 2025-11-06 12:33:46.337179 -> Puzzle 0kkoE - URL https://lichess.org/training/0kkoE, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0svae,https://lichess.org/training/0svae,TRUE,False,"Processing row 9: 2025-11-06 12:33:47.472308 -> Puzzle 0svae - URL https://lichess.org/training/0svae, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
