PuzzleId|FEN|Moves|Rating|RatingDeviation|Popularity|NbPlays|Themes|GameUrl|OpeningTags|PatternMatch|puzzle_ref
ZF4sO|1k4r1/pp3R1p/1b6/3p4/8/7q/3N1P2/2Q2RK1 w - - 4 33|f7g7 g8g7|684|83|76|237|hangingPiece mate mateIn1 middlegame oneMove|https://lichess.org/KAKEZiqY#65||FALSE|https://lichess.org/training/ZF4sO
0dh43|4r1k1/p1pp1ppp/1p6/2b3Q1/2P5/1P4Pq/PB3P1P/R3r1KR w - - 5 18|a1e1 e8e1|717|78|100|268|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/TDdIxcbK#35|Scotch_Game Scotch_Game_Lolli_Variation|FALSE|https://lichess.org/training/0dh43
lJrCz|4kb2/2q2b2/2p1pQ2/B1Pp4/B2PpP2/P3K1P1/8/8 b - - 0 37|c7a5 a4c6|754|76|86|176|endgame mate mateIn1 oneMove|https://lichess.org/Rlj8Tu0a/black#74||TRUE|https://lichess.org/training/lJrCz
8QPns|2k5/ppp2p1p/3p1p2/2bBp3/3nP3/3P2rq/PPP2PN1/R2Q1RK1 w - - 0 17|f2g3 d4e2|772|86|88|544|doubleCheck mate mateIn1 middlegame oneMove|https://lichess.org/eNLMYASs#33|Four_Knights_Game Four_Knights_Game_Italian_Variation|TRUE|https://lichess.org/training/8QPns
6VWOG|r5k1/pp3ppp/2n2b2/8/8/P1P1Pq1P/5P1B/1b1RKQR1 w - - 0 24|d1b1 f6c3|777|107|96|228|mate mateIn1 middlegame oneMove|https://lichess.org/L4b9qhAh#47||TRUE|https://lichess.org/training/6VWOG
msO4r|2r4k/1p4p1/5n1Q/1PB5/P3P3/2K2P2/4B1p1/1q6 b - - 4 39|h8g8 e2c4 f6d5 c4d5|795|97|96|572|endgame mate mateIn2 short|https://lichess.org/wOkY6uLd/black#78||TRUE|https://lichess.org/training/msO4r
VWR51|r2q2kr/ppp4p/2n2p1Q/5b2/2B5/2P5/PPP2PPP/R4RK1 b - - 3 16|f5e6 c4e6|795|81|97|1121|hangingPiece kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/Vkbzp0SL/black#32|Four_Knights_Game Four_Knights_Game_Italian_Variation|TRUE|https://lichess.org/training/VWR51
XOGqW|3krb1r/pp2p1p1/2p1Qn2/3p3p/qP6/3PB2P/P4PP1/R3R1K1 b - - 0 19|a7a6 e3b6|801|93|90|716|mate mateIn1 middlegame oneMove|https://lichess.org/zale8uAO/black#38|Caro-Kann_Defense Caro-Kann_Defense_Other_variations|TRUE|https://lichess.org/training/XOGqW
j18lf|r2q2kr/pppb3p/3p2pQ/8/2B1PpP1/5P2/PPP5/2KR3R b - - 5 20|d7e6 c4e6|804|104|93|1170|hangingPiece kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/1Kq3yIGD/black#40||TRUE|https://lichess.org/training/j18lf
992aZ|r1bq2kr/pp1nb2p/2p2ppQ/3p4/2PP1B2/1B3N2/PP3PPP/RN4K1 b - - 0 19|d5c4 b3c4|809|80|91|148|mate mateIn1 middlegame oneMove|https://lichess.org/mXfjJkRz/black#38||TRUE|https://lichess.org/training/992aZ
b7sOy|2kr3b/Qpp2p1p/3pp3/8/PP6/N1n1Pq2/3P1P1P/R3KR2 w Q - 0 16|d2c3 h8c3|836|94|97|473|mate mateIn1 middlegame oneMove|https://lichess.org/A5WsJUsy#31|Polish_Opening Polish_Opening_Other_variations|TRUE|https://lichess.org/training/b7sOy
Uktrk|r4knr/p1p2p1p/8/2b4b/4P3/2N2P1q/PP1BB2P/R2Q2KR w - - 7 20|d2e3 c5e3|838|78|89|413|hangingPiece kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/51r8WZOn#39||TRUE|https://lichess.org/training/Uktrk
6nLrQ|r2q2kr/pppnn2p/3p2pQ/3Pp3/4P1B1/2N4R/PPP3PP/R5K1 b - - 6 17|d7f6 g4e6|842|79|88|607|mate mateIn1 middlegame oneMove|https://lichess.org/TG5jF4b8/black#34|Modern_Defense Modern_Defense_Standard_Defense|TRUE|https://lichess.org/training/6nLrQ
d8cGA|4kq2/1p3p2/4pQ2/3pP1p1/8/2r1P3/4BKP1/8 b - - 15 42|b7b5 e2b5 c3c6 b5c6|842|121|94|44|endgame mate mateIn2 short|https://lichess.org/aeU4COyn/black#84||TRUE|https://lichess.org/training/d8cGA
QEPdi|2rk4/2p2p1p/2Q1p3/3p4/8/2PbB3/1P1K1P2/7q b - - 1 26|d3e4 e3g5 f7f6 g5f6|846|98|92|763|endgame mate mateIn2 short|https://lichess.org/NN09gCvg/black#52||TRUE|https://lichess.org/training/QEPdi
BfLho|r3k2r/pp3ppp/8/2bpp3/8/2P1Bn1q/PP2B2P/R2Q2KR w kq - 0 17|e2f3 c5e3|850|78|100|61|hangingPiece kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/Tt3dsrtW#33|Scandinavian_Defense Scandinavian_Defense_Modern_Variation|TRUE|https://lichess.org/training/BfLho
sK2IX|8/1P1q2pk/7p/4p3/3pP2P/3P1PP1/2PbN3/1R5K w - - 0 35|b7b8q d7h3 h1g1 d2e3|851|84|95|1089|endgame mate mateIn2 short|https://lichess.org/d9zFvplk#69||TRUE|https://lichess.org/training/sK2IX
EOhU0|r1b2k2/p2p4/2p1p1Q1/2B1p3/7P/6K1/P1P3P1/q7 b - - 3 26|d7d6 c5d6|854|80|100|256|endgame mate mateIn1 oneMove|https://lichess.org/4CPT2Iqd/black#52||TRUE|https://lichess.org/training/EOhU0
2DnKR|r2q1rk1/ppp2pp1/2np2RQ/3Np3/2B1P3/P2P4/1PP2P2/R3K3 b Q - 0 16|f7g6 d5e7|855|90|72|114|doubleCheck mate mateIn1 middlegame oneMove|https://lichess.org/olqAOFCD/black#32|Four_Knights_Game Four_Knights_Game_Italian_Variation|TRUE|https://lichess.org/training/2DnKR
kgCGZ|r3k2r/ppp2pp1/2n5/2bpp3/8/PP1PP1Pq/1BPN2KP/R2Q3R w kq - 2 16|g2g1 c5e3|857|84|88|268|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/AAhaypJK#31|Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation|TRUE|https://lichess.org/training/kgCGZ
tg2Ml|8/4ppk1/6pb/7p/4B2q/5P1b/6P1/1Q1R3K w - - 0 36|g2h3 h4h3 h1g1 h6e3|857|103|97|205|endgame mate mateIn2 short|https://lichess.org/DeZqewdu#71||TRUE|https://lichess.org/training/tg2Ml
2GXNr|r1b3nr/1p3kPp/p7/1Bb3B1/8/6Pq/PP5P/RN1Q2KR w - - 3 20|g5e3 c5e3|872|78|100|118|hangingPiece kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/IJOkfG4a#39||TRUE|https://lichess.org/training/2GXNr
bzP9U|1r3rk1/pppq1pp1/1b5p/P2N2n1/1PnP4/4PBPP/2Q2PK1/R1B2R2 w - - 1 19|c2c4 d7h3 g2g1 g5f3|872|80|95|958|deflection mate mateIn2 middlegame short|https://lichess.org/hLTxDKOU#37||FALSE|https://lichess.org/training/bzP9U
mL0lt|r5k1/ppp3pp/3p4/2b1n3/8/1PN2P1q/PBP1QP2/R2R2K1 w - - 0 18|e2f1 e5f3|874|95|95|1303|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/OTpeRrYz#35|Three_Knights_Opening Three_Knights_Opening_Other_variations|FALSE|https://lichess.org/training/mL0lt
7Pr1w|r1bq2nr/pp1kb1pp/4p3/2p1Q3/8/P1NB4/1PPP2PP/R1B1K2R b KQ - 0 11|g8f6 d3b5|875|75|62|146|mate mateIn1 oneMove opening|https://lichess.org/2DXoVxvU/black#22|Sicilian_Defense Sicilian_Defense_McDonnell_Attack|TRUE|https://lichess.org/training/7Pr1w
wIryT|rk3b1r/p1pq1ppp/Qp2p3/8/5B2/5P2/P4PPP/R2R2K1 b - - 7 18|d7c6 d1d8|877|79|100|71|mate mateIn1 middlegame oneMove|https://lichess.org/uo245Dk4/black#36|English_Opening English_Opening_Anglo-Grunfeld_Defense|FALSE|https://lichess.org/training/wIryT
