PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Queen_Bishop,puzzle_ref
04mRD,6k1/Qppb2p1/6p1/6B1/4PR2/6q1/P1P5/6K1 w - - 2 27,g1f1 d7b5 c2c4 b5c4,1748,75,100,670,endgame mate mateIn2 short,https://lichess.org/9Ks2OWkX#53,,True,https://lichess.org/training/04mRD
07uT4,4R3/1p4pk/p1p1Q2p/3p1Pb1/6P1/6q1/PP6/4K3 w - - 2 39,e1d1 g3d3 d1e1 g5h4,1825,75,94,12982,endgame mate mateIn2 short,https://lichess.org/gtLohvrG#77,,True,https://lichess.org/training/07uT4
0AG5m,5rk1/2p3pp/Q3b3/4p3/P7/2P1q2P/4B1P1/R2R1K2 w - - 0 26,e2f3 f8f3 g2f3 e6h3,1890,75,86,185,deflection mate mateIn2 middlegame short,https://lichess.org/Ysx7g1Ic#51,,True,https://lichess.org/training/0AG5m
0Btl1,5r1k/2P3bp/pN4p1/8/Q1P1p3/5rPq/2R2P2/1R4K1 w - - 0 34,c7c8q f3g3 f2g3 g7d4 c2f2 d4f2,2089,74,95,9155,long mate mateIn3 middlegame sacrifice,https://lichess.org/ZjsKXCw9#67,,True,https://lichess.org/training/0Btl1
0Cjop,r1bqkb1r/pp1pn1pp/3Q1n2/4N3/2B1p3/8/PPP2PPP/RNB1K2R b KQkq - 2 8,e7g6 c4f7,1032,76,98,269,mate mateIn1 oneMove opening,https://lichess.org/wcWZPk3z/black#16,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation,True,https://lichess.org/training/0Cjop
0M6Yi,3kBQ2/1p6/p1p2P2/P6P/1P1bq3/8/5K2/R7 w - - 6 39,f2f1 e4f3 f1e1 d4c3,1771,87,80,180,endgame mate mateIn2 short,https://lichess.org/fsZ9gRNU#77,,True,https://lichess.org/training/0M6Yi
0MMHF,8/2Q5/p5bk/2pP4/2P5/P1q4P/8/6K1 w - - 6 42,c7c5 c3g3 g1f1 g6d3,1917,78,88,635,endgame mate mateIn2 short,https://lichess.org/dn9LEAMp#83,,True,https://lichess.org/training/0MMHF
0TtMR,3k4/5p2/4pP1b/3pP3/B2P4/P1q5/4Q3/7K w - - 1 46,e2b5 c3h3 h1g1 h6e3,2057,79,88,1242,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/y91bpvbs#91,,True,https://lichess.org/training/0TtMR
0TwGG,r3k2r/p2b2p1/2B1pp1p/2Q5/2PP4/P3q3/1P5P/R2K3R w kq - 1 22,c6a8 d7a4 b2b3 a4b3,1213,75,90,1102,mate mateIn2 middlegame short,https://lichess.org/PdsjKK98#43,,True,https://lichess.org/training/0TwGG
0WOUq,6rr/pNk5/Bbp5/4n1qp/1Q1pP1n1/5R2/PPP3PP/4R2K b - - 2 24,e5f3 b4d6 c7c8 b7c5,1695,75,93,1816,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/nlOZX1pv/black#48,,True,https://lichess.org/training/0WOUq
0h7f5,8/1Q3pk1/p5p1/1p1P2b1/8/P1N1qr1P/1P4P1/3R3K w - - 0 36,d5d6 f3h3 g2h3 e3h3 h1g1 g5e3,1627,76,87,71,endgame long mate mateIn3 sacrifice,https://lichess.org/dkr4CtXl#71,,True,https://lichess.org/training/0h7f5
0jehT,6qk/7b/8/2Qp4/P2P3P/6b1/5P2/6K1 w - - 0 41,f2g3 g8g3 g1f1 h7d3,946,76,87,346,endgame mate mateIn2 short,https://lichess.org/S4V6GcMW#81,,True,https://lichess.org/training/0jehT
0lWbJ,r5k1/P6p/Rp1B2p1/1QPq4/3b1p2/5P2/7P/5K2 w - - 0 39,a6b6 d5f3 f1e1 d4c3,1765,91,75,40,endgame mate mateIn2 short,https://lichess.org/6Jb05TnV#77,,True,https://lichess.org/training/0lWbJ
0rsnc,2r5/2q1b1kR/p2p2p1/4pP2/8/6Q1/1PP3B1/1K4n1 b - - 0 30,g7h7 g3g6 h7h8 g6h6 h8g8 g2d5,1815,75,95,13484,endgame long mate mateIn3,https://lichess.org/TGmsVyyr/black#60,,True,https://lichess.org/training/0rsnc
