PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
GNmFK,3r2k1/5R2/p2N3p/2P5/4Qpq1/7p/5PP1/6K1 b - - 0 36,d8d6 e4h7,523,97,96,312,endgame mate mateIn1 oneMove,https://lichess.org/iQTKzMJg/black#72,,True,https://lichess.org/training/GNmFK
P83hU,r3k1nr/p2R1pp1/b1p1p2p/3pP1B1/3P1Q2/q1b5/P1P1NPPP/3K1B1R b kq - 0 14,h6g5 f4f7,541,88,100,500,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/siFN44SO/black#28,French_Defense French_Defense_Normal_Variation,True,https://lichess.org/training/P83hU
SkgQ0,1r1q1rkR/p2b1pB1/3p1np1/1p6/3pP3/1PN2P2/1PPQ2P1/R3K3 b Q - 1 17,g8g7 d2h6,558,96,99,959,mate mateIn1 middlegame oneMove,https://lichess.org/6I7YUNwj/black#34,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon,True,https://lichess.org/training/SkgQ0
zlwhu,R1kr1bnr/2pp2p1/1p6/3P2p1/4P2p/1qNQ1N2/1P3PPP/6K1 b - - 0 18,c8b7 d3a6,566,88,100,212,mate mateIn1 middlegame oneMove,https://lichess.org/t0lJNKnl/black#36,English_Defense English_Defense_Perrin_Variation,True,https://lichess.org/training/zlwhu
nO7kp,5k1R/pp2bp2/2p1p1p1/3qP3/8/2P1Q3/PP3PP1/3rB1K1 b - - 4 28,f8g7 e3h6,567,88,83,153,endgame mate mateIn1 oneMove,https://lichess.org/sDCfezPQ/black#56,,True,https://lichess.org/training/nO7kp
C3H2A,r4rkR/pp2ppB1/5np1/2p5/3p4/3P1qP1/PPPQ1P2/RN2K3 b Q - 1 16,g8g7 d2h6,570,98,86,861,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/wPpTRVU0/black#32,Zukertort_Opening Zukertort_Opening_Other_variations,True,https://lichess.org/training/C3H2A
3DqCl,R1kr3r/2q1b2p/1pp3p1/4Pp2/1P2pP2/2B1P3/2P1Q2P/5RK1 b - - 2 22,c8b7 e2a6,577,87,76,220,mate mateIn1 middlegame oneMove,https://lichess.org/UWh13ZMf/black#44,,True,https://lichess.org/training/3DqCl
5W3K2,2kr2r1/1R1P3p/pb6/8/2q5/8/1PPQ2B1/1K6 b - - 0 38,d8d7 d2d7,583,85,100,258,mate mateIn1 middlegame oneMove,https://lichess.org/0NklJRud/black#76,,True,https://lichess.org/training/5W3K2
KWjlv,r4rkR/1pq2pB1/p1bp1np1/8/3pP1P1/1PN2P2/1PPQ4/R3K3 b Q - 1 18,g8g7 d2h6,603,83,100,186,mate mateIn1 middlegame oneMove,https://lichess.org/85ItyEz2/black#36,Sicilian_Defense Sicilian_Defense_Classical_Variation,True,https://lichess.org/training/KWjlv
Qll1E,4r1k1/2p2R1p/3pP1p1/1p6/p6Q/P7/5PPK/4q3 b - - 0 39,e1e6 h4h7,611,82,88,137,endgame master mate mateIn1 oneMove,https://lichess.org/iPwuSSOj/black#78,,True,https://lichess.org/training/Qll1E
6pF6d,r3k2r/2pR1ppp/p1p1p3/4P3/2p1PQ2/2N5/Pq3PPP/5RK1 b kq - 0 16,b2c3 f4f7,619,92,97,371,attackingF2F7 endgame mate mateIn1 oneMove,https://lichess.org/DHSdCApK/black#32,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,True,https://lichess.org/training/6pF6d
uTyJ8,r2qr1k1/pp3R1p/1bpp4/6Np/2PP4/3QP3/PP4PP/R5K1 b - - 0 18,d8g5 d3h7,622,81,100,69,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lKZGwAT8/black#36,English_Opening English_Opening_Kings_English_Variation,True,https://lichess.org/training/uTyJ8
fsms3,1r2kbnr/2qR1ppp/1Np1p3/2P1P3/1p6/P7/2P2QPP/5RK1 b k - 1 18,c7e5 f2f7,643,90,94,324,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/2L43e1QW/black#36,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,True,https://lichess.org/training/fsms3
I0lrd,N1bk4/pp1p1ppp/3Q3n/8/q4n2/2B5/PPP1r1PP/R3K2R w KQ - 0 18,e1d1 a4c2,651,97,86,331,mate mateIn1 middlegame oneMove,https://lichess.org/iHHLDsYf#35,Four_Knights_Game Four_Knights_Game_Halloween_Gambit,True,https://lichess.org/training/I0lrd
eqjnr,R2r3r/1kpqpp2/1p1p1n1b/2PP4/4P3/3Q2p1/1P1N1PKN/8 b - - 0 25,d6c5 d3a6,656,106,90,536,mate mateIn1 middlegame oneMove,https://lichess.org/pXpTMEbq/black#50,,True,https://lichess.org/training/eqjnr
RCbSv,r2q1rkR/p1p1npB1/1p2p1p1/4P3/2Pn2P1/2N2b2/PP1Q2B1/R3K3 b Q - 1 18,g8g7 d2h6,657,108,93,675,mate mateIn1 middlegame oneMove,https://lichess.org/KIoYzADI/black#36,English_Opening English_Opening_Anglo-Indian_Defense,True,https://lichess.org/training/RCbSv
DIXfC,5rk1/pp3ppp/5q2/3P4/4b1B1/Q5P1/PP3P1r/3RR1K1 w - - 0 22,e1e4 f6f2,660,98,93,448,mate mateIn1 middlegame oneMove,https://lichess.org/raVErSyl#43,,True,https://lichess.org/training/DIXfC
v6Rli,r4rkR/pp2ppB1/2np1np1/q7/8/2N2P2/bPPQP1P1/2KR1BN1 b - - 1 13,g8g7 d2h6,662,81,87,327,mate mateIn1 middlegame oneMove,https://lichess.org/QJLC5yEn/black#26,Indian_Defense Indian_Defense_Reversed_Chigorin_Defense,True,https://lichess.org/training/v6Rli
vTdC1,r2q1rkR/pp1nppB1/3pbnp1/8/6P1/2p2P2/PPPQP3/2KR1BN1 b - - 1 13,g8g7 d2h6,665,81,81,182,mate mateIn1 middlegame oneMove,https://lichess.org/VaSHACGl/black#26,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/vTdC1
P18uD,r3rbk1/ppp2R1p/2n5/3pN1q1/3P4/2PQ2P1/PP4PP/R5K1 b - - 1 18,e8e5 d3h7,666,84,76,97,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Yiw5FIuZ/black#36,French_Defense French_Defense_Knight_Variation,True,https://lichess.org/training/P18uD
BkMoI,8/ppp3qk/8/5p1P/5Q2/3p1R2/PP1NrKP1/8 w - - 1 39,f2f1 g7g2,666,111,100,21,endgame mate mateIn1 oneMove,https://lichess.org/ICH4quPA#77,,True,https://lichess.org/training/BkMoI
YVi21,1r1q1rkR/4ppB1/p2p1np1/2p2P2/3nP3/2N5/PP1QpP2/R3K3 b Q - 1 18,g8g7 d2h6,666,108,96,655,master mate mateIn1 middlegame oneMove,https://lichess.org/ysWbaoOh/black#36,Sicilian_Defense Sicilian_Defense_Old_Sicilian,True,https://lichess.org/training/YVi21
E6u6h,4r1k1/pb3p1R/1pp2p2/5B2/P2P2K1/1QPR2P1/4rq2/8 b - - 8 38,b7c8 b3f7,671,79,78,161,master mate mateIn1 middlegame oneMove,https://lichess.org/vA5EhyNw/black#76,,True,https://lichess.org/training/E6u6h
xWqar,1r1r2kR/4qpB1/5np1/pN2p3/P2p2P1/1B3b2/1PPQ4/R3K3 b Q - 1 22,g8g7 d2h6,678,119,91,630,mate mateIn1 middlegame oneMove,https://lichess.org/KgVqNfbp/black#44,,True,https://lichess.org/training/xWqar
vKiAx,3qr1k1/5R1p/1p1p2p1/2pPp1N1/2P1P3/1PK5/7Q/8 b - - 0 41,d8g5 h2h7,681,113,92,471,endgame mate mateIn1 oneMove,https://lichess.org/7LJzZvYC/black#82,,True,https://lichess.org/training/vKiAx
kj4r3,1Q2R3/5p1k/2p3p1/2P4p/8/P4r2/5PK1/q7 b - - 3 38,f3f6 e8h8 h7g7 b8f8,682,103,97,1531,endgame mate mateIn2 short,https://lichess.org/OFLvB10k/black#76,,True,https://lichess.org/training/kj4r3
XjimF,2r3k1/pp2pp1R/5bp1/3q4/8/1Q3PR1/P1r2BK1/8 b - - 4 30,d5d2 b3f7,686,102,91,358,master mate mateIn1 middlegame oneMove,https://lichess.org/2EDLtuSg/black#60,,True,https://lichess.org/training/XjimF
O9flp,b1r2rk1/p7/1p2p1R1/7p/3P1q2/2P5/P3QP1P/4R1K1 b - - 0 26,g8f7 e2e6,691,81,99,499,mate mateIn1 middlegame oneMove,https://lichess.org/5g9XYnnz/black#52,,True,https://lichess.org/training/O9flp
8UkPQ,rq4kr/1b1p1R1B/p2Np3/1pBnP1p1/7Q/8/PP4P1/2R4K b - - 2 28,h8h7 h4h7,693,80,98,448,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/MwuUOMOD/black#56,,True,https://lichess.org/training/8UkPQ
7N6iS,rn1q1rkR/ppp2pB1/3p1np1/8/3p4/2P2P2/PP1Q1P2/RN2KB2 b Q - 1 12,g8g7 d2h6,694,100,53,87,mate mateIn1 middlegame oneMove,https://lichess.org/LRJra1tf/black#24,London_System London_System_Other_variations,True,https://lichess.org/training/7N6iS
NdauX,r2q1r2/pbpp1R1k/1p5p/4n3/3PQ3/2P5/P1P3PP/R5K1 b - - 0 17,h7g8 e4h7,694,84,100,160,mate mateIn1 middlegame oneMove,https://lichess.org/laZNPxK8/black#34,Owen_Defense Owen_Defense_Other_variations,True,https://lichess.org/training/NdauX
eL6JE,R1k3rr/1Rpp1p1p/1p6/3Pq3/4P3/2PQB2p/5PP1/6K1 b - - 2 22,c8b7 d3a6,695,108,94,652,endgame mate mateIn1 oneMove,https://lichess.org/ZuIopsFw/black#44,,True,https://lichess.org/training/eL6JE
QmHlQ,r5kr/p3R3/8/2p2q2/3p3P/3P2Q1/2P2P2/5K2 b - - 7 33,g8f8 g3g7,696,113,93,508,endgame mate mateIn1 oneMove,https://lichess.org/sKAYSI5z/black#66,,True,https://lichess.org/training/QmHlQ
oIPWY,5k2/p2Q4/1p1pPb2/2pP2p1/2P1Pp2/6r1/PP3RK1/3q2R1 w - - 3 41,g2h2 d1g1,696,102,93,215,endgame master mate mateIn1 oneMove,https://lichess.org/KFEJyBd9#81,,True,https://lichess.org/training/oIPWY
FNxhH,2r2k1R/2q2p2/2n1pnp1/p2p4/Np1P2P1/4Q3/PP2NP2/1K6 b - - 1 25,f8g7 e3h6,697,85,56,58,mate mateIn1 middlegame oneMove,https://lichess.org/7zGHBHev/black#50,,True,https://lichess.org/training/FNxhH
er0wX,6k1/3q2p1/p2P3p/2pP4/4P2P/P1N2rQ1/4bPK1/6R1 w - - 3 37,g3g6 d7h3,697,98,94,913,endgame mate mateIn1 oneMove,https://lichess.org/JtdnsRoZ#73,,True,https://lichess.org/training/er0wX
niXRe,r1b1r1kR/4ppB1/p1qp1np1/8/4P1P1/2p2P2/PPPQ4/2KR1B2 b - - 1 17,g8g7 d2h6,698,99,93,1247,mate mateIn1 middlegame oneMove,https://lichess.org/uJuXgu9s/black#34,Sicilian_Defense Sicilian_Defense_Dragon_Variation,True,https://lichess.org/training/niXRe
cJvmy,2rq1rk1/1p1bbR1p/p1n1p1p1/3nN1B1/3P3Q/P1NB4/1P4PP/R5K1 b - - 0 16,e7g5 h4h7,700,91,100,87,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/LV8KiQ9j/black#32,Sicilian_Defense Sicilian_Defense_Alapin_Variation,True,https://lichess.org/training/cJvmy
ApeS8,r1b1r1k1/1p1n1R1p/pqp1p1pb/6N1/3P3Q/P2B4/1PP1N1PP/R5K1 b - - 0 16,h6g5 h4h7,701,82,100,344,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/gdJLNaId/black#32,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Blackmar_Gambit,True,https://lichess.org/training/ApeS8
Nfpe8,2r3k1/1p3R2/1bp3np/3pP1q1/3P1R1P/3Q4/P5P1/6K1 b - - 0 28,g6f4 d3h7,703,84,100,276,endgame mate mateIn1 oneMove,https://lichess.org/xlswMy3B/black#56,,True,https://lichess.org/training/Nfpe8
2BX04,r1b1r1k1/ppp2p1R/6p1/6q1/3b2P1/5Q2/PPP1N3/1K5R b - - 2 21,c8g4 f3f7,705,80,80,146,master mate mateIn1 middlegame oneMove,https://lichess.org/dWbyNxhx/black#42,,True,https://lichess.org/training/2BX04
1xDvk,rnb2rkR/pp3pB1/4p1p1/q3P3/8/2pP1P2/PP1Q2P1/R3K1N1 b Q - 1 16,g8g7 d2h6,706,107,92,332,mate mateIn1 middlegame oneMove,https://lichess.org/oi1t0ZE7/black#32,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation,True,https://lichess.org/training/1xDvk
NTfGs,3R4/p5bk/1p2R1pp/2p5/1r4P1/1KNQ4/PP3q2/8 w - - 2 27,b3a3 f2b2,708,95,97,1034,mate mateIn1 middlegame oneMove,https://lichess.org/hEBZorlB#53,,True,https://lichess.org/training/NTfGs
AYLQi,r3kb1r/pp1R1pp1/2p1p2p/6B1/q3B3/5Q2/PPP2PP1/2K4R b kq - 0 16,h6g5 f3f7,711,84,100,115,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/9vA0qLgp/black#32,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,True,https://lichess.org/training/AYLQi
wOq9E,3r4/r3R2p/6p1/p1qp1pk1/7P/2P3P1/PP2QP2/6K1 b - - 0 35,g5f6 e2e5,713,95,89,493,endgame mate mateIn1 oneMove,https://lichess.org/GYVWRIyq/black#70,,True,https://lichess.org/training/wOq9E
pskbB,r4bk1/ppp2R2/7p/3Pp1pB/2P1Q3/P2P4/1P5q/1K6 b - - 1 35,h2h5 e4h7,713,117,96,243,endgame mate mateIn1 oneMove,https://lichess.org/ena3mOBX/black#70,,True,https://lichess.org/training/pskbB
c3kPk,2k5/p1p5/1p6/1P2qp2/P3P1p1/4QnP1/3NRK2/6r1 w - - 11 38,d2f3 e5g3,713,105,97,994,endgame mate mateIn1 oneMove,https://lichess.org/RGqtvpNv#75,,True,https://lichess.org/training/c3kPk
xfMrP,r1b2rkR/2qn1pB1/4p1p1/4P3/p7/Pp1pQN2/1PP2PP1/2K1R3 b - - 1 22,g8g7 e3h6,715,100,97,558,master mate mateIn1 middlegame oneMove,https://lichess.org/7xZIwucp/black#44,,True,https://lichess.org/training/xfMrP
zca4A,r2q1rkR/1b2ppB1/p2p1np1/2p5/2p1P3/2N5/PP1Q1PP1/2KR4 b - - 1 19,g8g7 d2h6,715,108,95,383,mate mateIn1 middlegame oneMove,https://lichess.org/6ayxBneS/black#38,,True,https://lichess.org/training/zca4A
vQk0r,1r3rkR/4ppB1/pq1p1np1/2p5/4P3/1PN2b2/P1PQ4/2KR1B2 b - - 1 18,g8g7 d2h6,716,94,97,204,mate mateIn1 middlegame oneMove,https://lichess.org/rfBXekJT/black#36,Sicilian_Defense Sicilian_Defense_Dragon_Variation,True,https://lichess.org/training/vQk0r
