PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref,unique_id
00qX2,1r2r2k/Q1R4p/4q1p1/4Bb2/8/8/PP3PPP/3R2K1 b - - 0 28,e6e5 c7h7 h8g8 a7f7,1218,78,92,967,mate mateIn2 middlegame short,https://lichess.org/aDxQAOeN/black#56,,True,https://lichess.org/training/00qX2,315
012uA,r4r2/p1p2k1R/6R1/3n1pB1/1q1Pb3/8/1P2Q1PP/6K1 b - - 2 35,f7g6 e2h5,1139,77,84,177,mate mateIn1 middlegame oneMove,https://lichess.org/giEyOLMZ/black#70,,True,https://lichess.org/training/012uA,382
01YV3,1r3rk1/p3R2p/3p2pQ/3q4/3b4/3p4/PP3PPP/1RB4K b - - 3 22,f8f2 h6h7 g8f8 c1h6 d4g7 h7g7,1511,76,98,2764,long mate mateIn3 middlegame,https://lichess.org/UFUflidH/black#44,,True,https://lichess.org/training/01YV3,551
03BMo,3k1r2/1b3P2/q3p2Q/3pN2P/8/1p2R3/1Pr3B1/2K4R w - - 0 32,c1b1 a6a2,921,80,68,73,mate mateIn1 middlegame oneMove,https://lichess.org/z5uvyOIX#63,,True,https://lichess.org/training/03BMo,1146
05NTl,5k2/5p2/p7/2q5/2N1Qp2/3R1Kr1/P4b2/1R6 w - - 2 44,f3f4 c5g5,1215,76,92,1232,mate mateIn1 middlegame oneMove,https://lichess.org/ZACe3RyK#87,,True,https://lichess.org/training/05NTl,1923
06Arl,r3r1k1/3n1R1p/2pq2p1/p3P3/1p6/2n4Q/P1B3PP/4R2K b - - 0 24,d7e5 h3h7,975,78,89,366,mate mateIn1 middlegame oneMove,https://lichess.org/HP6lDWbw/black#48,,True,https://lichess.org/training/06Arl,2195
06xvC,3k1r2/ppp4q/3bp3/4p1N1/3pP1P1/3P1K2/PPPQ1P1r/R6R w - - 10 25,f3g3 h7h4,1259,148,58,16,mate mateIn1 middlegame oneMove,https://lichess.org/ct8wpZjk#49,,True,https://lichess.org/training/06xvC,2488
07Mvd,4qrk1/4Bppp/4p3/3p4/1p1P3P/1b1B1N2/rK1Q1PP1/1N1R3R w - - 1 21,b2b3 e8a4,1231,76,91,1402,mate mateIn1 middlegame oneMove,https://lichess.org/kV3IfV1q#41,,True,https://lichess.org/training/07Mvd,2644
09PrL,6k1/1p3ppp/p7/2P2Q2/1P3P2/P2r3P/5RP1/q4K2 w - - 1 31,f1e2 a1d1,1108,79,87,188,endgame mate mateIn1 oneMove,https://lichess.org/ogaaJ9Ea#61,,True,https://lichess.org/training/09PrL,3328
09Wht,8/3Q1pk1/8/3p4/p2P1PpP/2P1r2q/R3R3/6K1 w - - 0 41,e2g2 e3e1 g1f2 h3e3,988,77,98,389,endgame mate mateIn2 short,https://lichess.org/lcpbcFG5#81,,True,https://lichess.org/training/09Wht,3365
0Ak8M,5bk1/5p1p/2p4q/4N1p1/3Pp1b1/4P2r/2RQ1P2/2R3K1 w - - 0 37,e5g4 h3h1 g1g2 h6h3,1085,79,93,1373,mate mateIn2 middlegame short,https://lichess.org/aWdAqopw#73,,True,https://lichess.org/training/0Ak8M,3787
0BazR,6k1/1pq4p/p3PR2/3r2p1/8/1Q5P/P5P1/6K1 b - - 1 30,d5b5 e6e7 b5b3 e7e8q g8g7 e8f8,1276,75,89,416,advancedPawn discoveredAttack endgame long mate mateIn3 promotion,https://lichess.org/QHnoiX1b/black#60,,True,https://lichess.org/training/0BazR,4106
0BfeH,6r1/1k6/6r1/1Qp1q3/7p/P4P2/1P5N/3R3K b - - 7 37,b7c7 d1d7 c7c8 b5b7,1577,78,68,53,endgame mate mateIn2 short,https://lichess.org/eUXwNimv/black#74,,True,https://lichess.org/training/0BfeH,4134
