PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
3FkcZ,8/6k1/5pp1/5rP1/r4PK1/5RRP/8/8 w - - 0 62,f3e3 a4f4,514,82,73,86,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ZjTdIyLh#123,,True,https://lichess.org/training/3FkcZ
pm9ev,8/8/p2k4/Pr1p1p1p/KP1R1P1P/R5P1/8/1r6 w - - 8 47,d4d3 b1b4,593,101,95,438,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/YMsa0oY6#93,,True,https://lichess.org/training/pm9ev
XTjUq,6k1/pp4bp/2p3r1/6P1/5R2/7P/P1Pr4/5R1K b - - 0 35,g7e5 f4f8 g8g7 f1f7,650,78,66,72,endgame mate mateIn2 short,https://lichess.org/5jdCfydH/black#70,,True,https://lichess.org/training/XTjUq
hSvuh,1k2r3/pp2r3/2n5/2p3Q1/8/2P2PPP/PP4B1/5nK1 w - - 0 35,g1f1 e7e1 f1f2 e8e2,660,108,94,1671,endgame mate mateIn2 short,https://lichess.org/efguky12#69,,True,https://lichess.org/training/hSvuh
KfxEl,rn4kQ/pp3b1p/4q1pR/6P1/4p3/8/PPP2P2/1K5R b - - 0 29,g8h8 h6h7 h8g8 h7h8 g8g7 h1h7,686,101,79,38,endgame long mate mateIn3,https://lichess.org/ZlCNn2mG/black#58,,True,https://lichess.org/training/KfxEl
GfXZX,5kQ1/1q3r2/4r1p1/1p1pPp2/p2p4/P1P5/1P3PKR/7R b - - 0 43,f8g8 h2h8 g8g7 h1h7,689,90,92,414,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/FfUzcGGs/black#86,,True,https://lichess.org/training/GfXZX
thH1i,r5k1/5pp1/7p/8/2B2PP1/rPpR4/2P4P/1K6 w - - 4 31,d3c3 a3a1 b1b2 a8a2,690,78,83,162,endgame mate mateIn2 short,https://lichess.org/UIkRLfqS#61,,True,https://lichess.org/training/thH1i
nS9vD,8/1R5p/1p2k3/1N1pr3/R7/5PP1/4rKP1/8 w - - 1 47,f2f1 e2e1 f1f2 e5e2,698,115,94,483,endgame mate mateIn2 short,https://lichess.org/MYxR8jzU#93,,True,https://lichess.org/training/nS9vD
z8xPo,6k1/pr3p2/1p2rPp1/2p5/7R/3p3R/PP4PP/6K1 b - - 1 31,e6f6 h4h8 g8g7 h3h7,706,79,100,92,endgame mate mateIn2 rookEndgame short,https://lichess.org/4CeqAJLj/black#62,,True,https://lichess.org/training/z8xPo
lJT8o,k6r/P6r/4p3/R1BpPp2/3P2p1/2P3P1/5P2/6K1 w - - 1 37,a5b5 h7h1 g1g2 h8h2,712,110,95,426,endgame mate mateIn2 short,https://lichess.org/xOkbGLoq#73,,True,https://lichess.org/training/lJT8o
x19k3,r5k1/3R1ppp/4p3/7P/rp2P1P1/4BP2/1PP1N3/1K6 w - - 1 26,b2b3 a4a1 b1b2 a8a2,713,79,99,698,endgame mate mateIn2 queensideAttack short,https://lichess.org/QiMCuis1#51,,True,https://lichess.org/training/x19k3
KDkUC,7k/1R6/5P2/pPpP3p/6r1/7R/6rK/8 w - - 11 61,h2h1 g2g1 h1h2 g4g2,721,78,88,343,endgame mate mateIn2 rookEndgame short,https://lichess.org/zTjSjSHG#121,,True,https://lichess.org/training/KDkUC
NZvWG,r5k1/3Q1pp1/r7/3p4/1p1q1P2/1P4P1/2P4P/1K1R4 w - - 0 37,d1d4 a6a1 b1b2 a8a2,721,91,90,134,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/n4SYYYn1#73,,True,https://lichess.org/training/NZvWG
