PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
3FkcZ,8/6k1/5pp1/5rP1/r4PK1/5RRP/8/8 w - - 0 62,f3e3 a4f4,515,81,73,85,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ZjTdIyLh#123,,True,https://lichess.org/training/3FkcZ
pm9ev,8/8/p2k4/Pr1p1p1p/KP1R1P1P/R5P1/8/1r6 w - - 8 47,d4d3 b1b4,543,87,100,269,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/YMsa0oY6#93,,True,https://lichess.org/training/pm9ev
HbVJj,r4Qk1/1pp4p/p3p1rp/6q1/7n/PP5P/2P1NRP1/5RK1 b - - 7 27,a8f8 f2f8 g8g7 f1f7,575,83,97,1623,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xKI5LGl5/black#54,,True,https://lichess.org/training/HbVJj
5b7ro,4r3/p3rkpp/2R5/2p5/2Pp4/1P1R1Pb1/P5PP/5K2 w - - 0 30,h2g3 e7e1 f1f2 e8e2,661,89,90,391,endgame mate mateIn2 rookEndgame short,https://lichess.org/FlJjS0NI#59,,True,https://lichess.org/training/5b7ro
usGUI,6r1/8/8/1P3Q2/P7/2P4P/1k4rK/8 w - - 7 55,h2h1 g2g1 h1h2 g8g2,667,116,92,749,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/4Wg3ajV4#109,,True,https://lichess.org/training/usGUI
XTjUq,6k1/pp4bp/2p3r1/6P1/5R2/7P/P1Pr4/5R1K b - - 0 35,g7e5 f4f8 g8g7 f1f7,670,78,66,71,endgame mate mateIn2 short,https://lichess.org/5jdCfydH/black#70,,True,https://lichess.org/training/XTjUq
3N5Jq,3r2k1/p1p2p2/3r2pp/Pp6/1P5P/R3PpRP/2P2P2/4K3 w - - 2 28,g3f3 d6d1 e1e2 d8d2,679,87,88,203,endgame mate mateIn2 rookEndgame short,https://lichess.org/GbtbGhk4#55,,True,https://lichess.org/training/3N5Jq
KDkUC,7k/1R6/5P2/pPpP3p/6r1/7R/6rK/8 w - - 11 61,h2h1 g2g1 h1h2 g4g2,679,79,100,149,endgame mate mateIn2 rookEndgame short,https://lichess.org/zTjSjSHG#121,,True,https://lichess.org/training/KDkUC
thH1i,r5k1/5pp1/7p/8/2B2PP1/rPpR4/2P4P/1K6 w - - 4 31,d3c3 a3a1 b1b2 a8a2,691,77,83,156,endgame mate mateIn2 short,https://lichess.org/UIkRLfqS#61,,True,https://lichess.org/training/thH1i
hSvuh,1k2r3/pp2r3/2n5/2p3Q1/8/2P2PPP/PP4B1/5nK1 w - - 0 35,g1f1 e7e1 f1f2 e8e2,692,95,94,1649,endgame mate mateIn2 short,https://lichess.org/efguky12#69,,True,https://lichess.org/training/hSvuh
KfxEl,rn4kQ/pp3b1p/4q1pR/6P1/4p3/8/PPP2P2/1K5R b - - 0 29,g8h8 h6h7 h8g8 h7h8 g8g7 h1h7,693,100,76,34,endgame long mate mateIn3,https://lichess.org/ZlCNn2mG/black#58,,True,https://lichess.org/training/KfxEl
vbjyY,6k1/5p2/4rPp1/pppb4/3p2P1/6KR/2P4R/8 b - - 7 44,e6f6 h3h8 g8g7 h2h7,694,80,98,343,endgame mate mateIn2 short,https://lichess.org/EBZEhmaW/black#88,,True,https://lichess.org/training/vbjyY
