PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,RookMoves,puzzle_ref
TzZ7N,6k1/p3bR2/2p1p1p1/2P5/2qPp3/6Pp/P6P/5R1K b - - 0 44,e7g5 f7f8 g8h7 f1f7 h7h6 f8h8,767,156,54,19,endgame exposedKing long mate mateIn3,https://lichess.org/hePrQuA8/black#88,,True,2,https://lichess.org/training/TzZ7N
JAT4M,8/pp3Rk1/4p1p1/7p/1B2P2P/P1N4K/1q1r4/5R2 b - - 5 34,g7g8 f7f8 g8g7 f1f7 g7h6 f8h8,770,93,93,1574,endgame exposedKing long mate mateIn3,https://lichess.org/0zB0wkfQ/black#68,,True,2,https://lichess.org/training/JAT4M
kV4DT,1r4k1/5R2/3p2p1/1BpP3b/4P2K/2r5/8/5R2 b - - 1 36,b8b5 f7f8 g8h7 f1f7 h7h6 f8h8,773,100,96,2269,endgame exposedKing long master mate mateIn3,https://lichess.org/ue0celOX/black#72,,True,2,https://lichess.org/training/kV4DT
rQyG2,8/5Rk1/p5p1/P6p/1P3R1P/6P1/2r2PK1/4q3 b - - 0 42,g7g8 f7f8 g8h7 f4f7 h7h6 f8h8,775,92,83,176,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/NPPnbZfl/black#84,,True,2,https://lichess.org/training/rQyG2
79Mgc,5k2/p4R2/4p1p1/3p2bq/7P/8/r5P1/5R1K b - - 0 34,f8g8 f7f8 g8h7 f1f7 h7h6 f8h8,779,79,84,153,endgame exposedKing long mate mateIn3,https://lichess.org/RyMfwRQJ/black#68,,True,2,https://lichess.org/training/79Mgc
GAo6G,6k1/p7/6p1/2q4p/3p1R2/P2P3K/4PR1P/1r6 b - - 0 31,c5g5 f4f8 g8h7 f2f7 h7h6 f8h8,782,82,67,72,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/0lvRsWvD/black#62,,True,2,https://lichess.org/training/GAo6G
ISSac,6k1/ppp5/3p2p1/3P3p/5R1P/6q1/P1P2RP1/6K1 b - - 6 26,a7a5 f4f8 g8h7 f2f7 h7h6 f8h8,788,102,95,1580,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/mRuFdxad/black#52,,True,2,https://lichess.org/training/ISSac
vnBDN,5rk1/5p2/4p1Q1/p2pP2p/3n3P/6P1/q1r2R2/5RK1 b - - 0 38,f7g6 f2f8 g8h7 f1f7 h7h6 f8h8,791,90,93,449,endgame exposedKing long mate mateIn3,https://lichess.org/Bj7MaG0I/black#76,,True,2,https://lichess.org/training/vnBDN
cnXW9,7k/8/2p2pp1/p6p/2PR2rP/1P3PP1/r7/3R1K2 b - - 0 41,g4g3 d4d8 h8g7 d1d7 g7h6 d8h8,796,90,97,500,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/9CZkE9g2/black#82,,True,2,https://lichess.org/training/cnXW9
UoCGV,3r1k2/2R3pp/1p4p1/p3N3/P7/1PP5/3r4/2K4R w - - 0 39,h1h7 d2d1 c1b2 d8d2 b2a3 d1a1,797,96,85,429,endgame exposedKing long mate mateIn3,https://lichess.org/9W7VmVpr#77,,True,2,https://lichess.org/training/UoCGV
xZ86N,6k1/8/2p1p1p1/1pPp2Nb/3P3p/r3P1qP/2B2RP1/5RK1 b - - 0 31,g3g5 f2f8 g8h7 f1f7 h7h6 f8h8,797,78,88,322,endgame exposedKing long mate mateIn3,https://lichess.org/2bEFnHbz/black#62,,True,2,https://lichess.org/training/xZ86N
AvHKG,5r1k/6p1/p4r1p/8/P1P1R1QP/6P1/8/6K1 w - - 5 39,e4e7 f6f1 g1h2 f8f2 h2h3 f1h1,799,101,95,941,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/w4ae03Pb#77,,True,2,https://lichess.org/training/AvHKG
KxIPk,6k1/5R2/p5p1/2pp2P1/P7/1r4r1/7K/5R2 b - - 3 38,g3g5 f7f8 g8h7 f1f7 h7h6 f8h8,802,105,92,931,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/tQvUNMvi/black#76,,True,2,https://lichess.org/training/KxIPk
XT1gs,7k/1p5p/1ppp2p1/4p1q1/4P3/P1PP1R1P/1P5K/5R2 b - - 4 28,h7h5 f3f8 h8g7 f1f7 g7h6 f8h8,804,89,91,173,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/J7BXjkFs/black#56,,True,2,https://lichess.org/training/XT1gs
GbATD,1k6/8/1p6/p2Pp3/1q2Pp1p/2R2K1P/1PR5/8 b - - 3 34,b4b5 c3c8 b8a7 c2c7 a7a6 c8a8,807,90,73,169,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/bYY4DI1q/black#68,,True,2,https://lichess.org/training/GbATD
5A6Vc,5r2/8/1pp4k/3pR3/3P2R1/pPP3P1/P4r1P/6K1 w - - 7 40,h2h4 f2f1 g1h2 f8f2 h2h3 f1h1,807,96,96,1134,endgame exposedKing long master mate mateIn3 rookEndgame,https://lichess.org/SdFSC810#79,,True,2,https://lichess.org/training/5A6Vc
SgKBW,5k2/4R3/5p1p/2P3p1/1P4P1/5r1P/3q4/4R1K1 b - - 6 40,f3h3 e7e8 f8g7 e1e7 g7g6 e8g8,808,89,95,1083,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/Vtuxe8Ch/black#80,,True,2,https://lichess.org/training/SgKBW
2NcnX,6k1/8/5p1p/3p2p1/2pP1BP1/4RP1P/r5r1/4RK2 b - - 0 37,g5f4 e3e8 g8f7 e1e7 f7g6 e8g8,809,93,92,980,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/za3WVF2D/black#74,,True,2,https://lichess.org/training/2NcnX
xD9ou,6k1/2p5/4p1p1/p5bp/1p2P3/5RP1/PPr5/4KR2 b - - 1 32,c2b2 f3f8 g8h7 f1f7 h7h6 f8h8,810,91,96,477,endgame exposedKing long mate mateIn3,https://lichess.org/0tuOFofj/black#64,,True,2,https://lichess.org/training/xD9ou
wJili,6k1/1p1R2pp/p3p1r1/5p2/5P2/7P/P1r3P1/3R3K b - - 1 29,c2g2 d7d8 g8f7 d1d7 f7f6 d8f8,811,92,96,1087,endgame long mate mateIn3 rookEndgame,https://lichess.org/BnHp1nbw/black#58,,True,2,https://lichess.org/training/wJili
XmQdo,6k1/2p3pp/2r1p1r1/1p1n4/p4P2/P1P1B3/3R3K/3R4 b - - 0 30,d5e3 d2d8 g8f7 d1d7 f7f6 d8f8,815,79,76,68,endgame long mate mateIn3,https://lichess.org/EGqt9oDn/black#60,,True,2,https://lichess.org/training/XmQdo
