PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,puzzle_ref,Valid,Quadrant,Mating_Color,Mated_King,Knight_Attack,Knight_Restrict,Bishop_Restrict
zWcJh,r2qkb1r/ppp2Bpp/3p4/4N3/3nP3/2NP4/PPP2P2/R1Bb1RK1 b kq - 0 11,e8e7 c3d5,860,98,94,1156,mate mateIn1 oneMove opening,https://lichess.org/EVeJai5o/black#22,Four_Knights_Game Four_Knights_Game_Italian_Variation,https://lichess.org/training/zWcJh,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
yyvWY,1r1qkb1r/1p3Bpp/p2p4/2p1N3/P3P3/2N5/1PP2P2/R1BbK2R b KQk - 0 15,e8e7 c3d5,905,79,88,453,mate mateIn1 middlegame oneMove,https://lichess.org/9dc57xsU/black#30,Philidor_Defense Philidor_Defense_Exchange_Variation,https://lichess.org/training/yyvWY,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
Vcyow,r1bBk2r/ppp2ppp/2n5/3Np3/4n3/3P1P2/PPP2bPP/R2QKBNR w KQkq - 1 8,e1e2 c6d4,918,78,76,182,mate mateIn1 oneMove opening,https://lichess.org/H07fLf9s#15,Kings_Pawn_Game Kings_Pawn_Game_Kings_Head_Opening,https://lichess.org/training/Vcyow,True,bottom-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
9oGzv,2kN3r/1bpp4/pp2p1p1/7p/P5n1/3B1n2/1PPBNqPb/R2Q1R1K w - - 0 19,f1f2 g4f2,934,81,83,84,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1S2X3TiC#37,Owen_Defense Owen_Defense_Other_variations,https://lichess.org/training/9oGzv,True,bottom-right 2,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
RXVDL,r1bB1rk1/pppp1ppp/2n5/3Np3/2P1n3/3P4/PP3bPP/R2QKBNR w KQ - 0 8,e1e2 c6d4,941,86,96,1691,mate mateIn1 middlegame oneMove,https://lichess.org/0OWM1XVp#15,English_Opening English_Opening_Kings_English_Variation,https://lichess.org/training/RXVDL,True,bottom-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
dE0x2,r2qkb1r/pp3Bpp/3p1p2/2p1N3/3nP3/2NP4/PPP2PPP/R2bK2R b KQkq - 0 9,e8e7 c3d5,959,79,80,261,mate mateIn1 middlegame oneMove,https://lichess.org/IT5aHRN2/black#18,Sicilian_Defense Sicilian_Defense_Modern_Variations,https://lichess.org/training/dE0x2,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
4QqqQ,rn1qkbnr/ppp2Bpp/3p4/4N3/4P3/2N4P/PPPP1PP1/R1BbK2R b KQkq - 0 7,e8e7 c3d5,960,86,87,569,mate mateIn1 oneMove opening,https://lichess.org/w6qCtQvg/black#14,,https://lichess.org/training/4QqqQ,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
55lmE,r4b1r/p1q1kBpp/2nN1n2/6N1/4p3/4P3/PP3PP1/R1BR2K1 b - - 0 18,a8d8 d6f5,970,78,100,540,mate mateIn1 middlegame oneMove,https://lichess.org/hcHTbvwU/black#36,Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,https://lichess.org/training/55lmE,True,bottom-left 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
d0gzJ,rn1qkbnr/ppp2Bpp/3p1p2/4N3/4P3/2N4P/PPPP1PP1/R1BbK2R b KQkq - 1 7,e8e7 c3d5,980,80,95,1179,mate mateIn1 oneMove opening,https://lichess.org/jjO0ktPD/black#14,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/d0gzJ,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
OkLAr,rn1qkbnr/ppp2Bpp/3p4/4N3/4Pp2/2N5/PPPP1PPP/R1Bb1RK1 b kq - 1 7,e8e7 c3d5,986,78,89,218,mate mateIn1 oneMove opening,https://lichess.org/tpLjN45T/black#14,Philidor_Defense Philidor_Defense_Lopez_Countergambit,https://lichess.org/training/OkLAr,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
YO8sI,rn1qkbnr/pp3Bpp/3p4/2p1N3/4P3/2N5/PPPP1PPP/R1BbK2R b KQkq - 0 6,e8e7 c3d5,987,91,95,6006,mate mateIn1 oneMove opening,https://lichess.org/8ix0hncO/black#12,,https://lichess.org/training/YO8sI,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
8T9vX,r2qkbnr/1pp2Bpp/p2p4/4N3/3nP3/2N4P/PPPP1PP1/R1Bb1RK1 b kq - 0 9,e8e7 c3d5,991,80,93,290,mate mateIn1 oneMove opening,https://lichess.org/1q2Dw75d/black#18,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,https://lichess.org/training/8T9vX,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
hDGB4,r2qkbnr/1pp2Bpp/p2p4/4N3/PP1nP3/2N5/2PP1PPP/R1BbK2R b KQkq - 0 8,e8e7 c3d5,997,81,87,51,mate mateIn1 oneMove opening,https://lichess.org/Ra0a4NpB/black#16,Italian_Game Italian_Game_Paris_Defense,https://lichess.org/training/hDGB4,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
1juNI,r2qkbnr/1pp2Bpp/p2p4/4N3/3nP3/2N4P/PPPP1PP1/R1BbK2R b KQkq - 0 9,e8e7 c3d5,1005,94,92,54,mate mateIn1 oneMove opening,https://lichess.org/BusGZUUB/black#18,Ruy_Lopez Ruy_Lopez_Morphy_Defense,https://lichess.org/training/1juNI,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
l8x0K,rn1qkb1r/ppp2Bpp/3p4/4N3/4nP2/2N5/PPPP2PP/R1BbK2R b KQkq - 0 7,e8e7 c3d5,1005,96,93,1241,mate mateIn1 oneMove opening,https://lichess.org/k1bCOSPv/black#14,Vienna_Game Vienna_Game_Omaha_Gambit,https://lichess.org/training/l8x0K,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
O5ecI,r1bBk2r/ppp2p2/2np4/3Np3/4n3/3P4/PPP2bPP/R2QKB1R w KQkq - 0 11,e1e2 c6d4,1006,92,95,888,mate mateIn1 oneMove opening,https://lichess.org/wTauvrKe#21,Four_Knights_Game Four_Knights_Game_Other_variations,https://lichess.org/training/O5ecI,True,bottom-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
vb3cI,r2qkbnr/ppp2Bpp/3p4/4N3/4P3/2N5/PPPPbPPP/R1B2RK1 b kq - 0 8,e8e7 c3d5,1007,76,93,291,mate mateIn1 oneMove opening,https://lichess.org/JdpLqHnQ/black#16,Italian_Game Italian_Game_Paris_Defense,https://lichess.org/training/vb3cI,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
zZj9j,rn1qkb1r/ppp2Bpp/3p4/4N3/4P3/2N5/PPP2PPP/R1BbK2R b KQkq - 0 8,e8e7 c3d5,1007,134,81,30,mate mateIn1 oneMove opening,https://lichess.org/LHnZ0CbQ/black#16,,https://lichess.org/training/zZj9j,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
5ckt1,r2qkbnr/ppp2Bpp/3p1p2/4N3/4P3/2N5/PP3PPP/R1BbR1K1 b kq - 1 10,e8e7 c3d5,1008,90,94,775,mate mateIn1 oneMove opening,https://lichess.org/Agjracci/black#20,Scotch_Game Scotch_Game_Goring_Gambit,https://lichess.org/training/5ckt1,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
iBAk4,rn1qkb1r/ppp2Bpp/3n1p2/4N3/8/2NP4/PPP1bPPP/R1B1K2R b KQkq - 1 9,e8e7 c3d5,1011,76,97,328,mate mateIn1 oneMove opening,https://lichess.org/WUivPbXc/black#18,Petrovs_Defense Petrovs_Defense_Italian_Variation,https://lichess.org/training/iBAk4,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
JTpKP,r2qkbnr/ppp2pp1/2np3p/4N3/2B1PPb1/2N5/PPPP2PP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1015,304,0,4,attackingF2F7 mate mateIn2 opening short,https://lichess.org/PqPZrt92/black#12,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,https://lichess.org/training/JTpKP,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
HPIcl,r2qkbnr/ppp2Bpp/3p4/4Np2/3nPP2/2N5/PPPP2PP/R1Bb1RK1 b kq - 1 8,e8e7 c3d5,1022,90,94,819,mate mateIn1 oneMove opening,https://lichess.org/nEmIKYAz/black#16,Kings_Gambit Kings_Gambit_Other_variations,https://lichess.org/training/HPIcl,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
uJ9FU,r1bBk2r/pppp1ppp/6n1/3Pp3/2P1n3/P4N2/1P3bPP/RN1QKB1R w KQkq - 0 9,e1e2 g6f4,1028,81,86,607,mate mateIn1 middlegame oneMove,https://lichess.org/3OQOWots#17,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation,https://lichess.org/training/uJ9FU,True,top-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
njGEE,rn1qkbnr/1pp2Bpp/3p1p2/p3N3/3PP3/2N5/PPP2PPP/R1BbK2R b KQkq - 1 7,e8e7 c3d5,1032,78,94,1044,mate mateIn1 oneMove opening,https://lichess.org/gD58sSdA/black#14,Kings_Pawn_Game Kings_Pawn_Game_Damiano_Defense,https://lichess.org/training/njGEE,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
T5uwR,r2qkbnr/ppp2Bpp/3p4/4N3/4Pp2/2N5/PPPP2PP/R1Bb1RK1 b kq - 0 8,e8e7 c3d5,1033,95,94,5487,mate mateIn1 oneMove opening,https://lichess.org/5NvovSHX/black#16,,https://lichess.org/training/T5uwR,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
3WKaT,rn1qkbnr/ppp2Bpp/3p4/4Np2/4P3/2N5/PPPP1PPP/R1BbK2R b KQkq - 1 6,e8e7 c3d5,1033,88,91,2347,mate mateIn1 oneMove opening,https://lichess.org/X6xZX75k/black#12,,https://lichess.org/training/3WKaT,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
lJxoL,r2qkbnr/ppp2B1p/3p4/4N1p1/4Pp2/2NP4/PPP3PP/R1Bb1RK1 b kq - 0 9,e8e7 c3d5,1035,77,96,3558,mate mateIn1 oneMove opening,https://lichess.org/WT6x6oUk/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense,https://lichess.org/training/lJxoL,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
jns0R,r2qkbnr/pppB1ppp/3p4/4N3/4P3/2N5/PPPP1PPP/R1BbK2R b KQkq - 0 6,e8e7 c3d5,1041,78,68,62,mate mateIn1 oneMove opening,https://lichess.org/fc2IaCJZ/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/jns0R,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
QRxnM,rn1qkb1r/ppp2Bp1/3p3p/4N3/4P3/2N5/PPPP1P2/R1Bb1RK1 b kq - 0 10,e8e7 c3d5,1044,113,88,48,mate mateIn1 oneMove opening,https://lichess.org/A3fktsGD/black#20,Zukertort_Opening Zukertort_Opening_Pirc_Invitation,https://lichess.org/training/QRxnM,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
6yXNh,r2qkbnr/ppp2Bpp/3p4/4N3/3nP3/2N5/PPPP1PPP/R1Bb1RK1 b kq - 0 8,e8e7 c3d5,1044,76,97,1191,mate mateIn1 oneMove opening,https://lichess.org/WLKrSgM4/black#16,Vienna_Game Vienna_Game_Other_variations,https://lichess.org/training/6yXNh,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
SnlYA,rn1qkbnr/ppp2Bpp/3p4/4N3/4Pp2/2N4P/PPPP1PP1/R1Bb1RK1 b kq - 1 8,e8e7 c3d5,1046,79,93,82,mate mateIn1 oneMove opening,https://lichess.org/fs3s0XLg/black#16,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/SnlYA,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
l2AjW,rn1qkbnr/ppp2Bpp/3p4/4N3/4Pp2/2NP3P/PPP2PP1/R1BbK2R b KQkq - 1 8,e8e7 c3d5,1051,81,90,1003,mate mateIn1 oneMove opening,https://lichess.org/LSmuQsmC/black#16,Latvian_Gambit Latvian_Gambit_Mlotkowski_Variation,https://lichess.org/training/l2AjW,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
