PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
m7ywR,7R/1ppk1pr1/1P1p4/3P3p/4qpn1/5Q2/2PN3P/4R2K w - - 0 25,f3e4 g4f2,399,114,77,433,endgame mate mateIn1 oneMove,https://lichess.org/fb8DA2yB#49,,True,https://lichess.org/training/m7ywR
TgQMg,1k6/pp4pp/8/6r1/3pR3/3P3n/PP1N1r1P/5R1K w - - 0 25,f1f2 h3f2,400,92,97,660,endgame mate mateIn1 oneMove,https://lichess.org/0alGKZhp#49,,True,https://lichess.org/training/TgQMg
XryBS,8/1Pp5/6kp/6p1/6P1/5nPK/3r4/8 w - - 1 47,b7b8q f3g1,400,112,95,499,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/qvfk1SAa#93,,True,https://lichess.org/training/XryBS
1tpz9,6k1/pp2R1pp/3R4/2p5/6r1/7n/PP4BP/5r1K w - - 3 26,g2f1 h3f2,434,94,100,159,endgame mate mateIn1 oneMove,https://lichess.org/5bAaRxKB#51,,True,https://lichess.org/training/1tpz9
w3jgm,1k1r2r1/pp6/3p1p1p/2p2P2/3pP3/P2P3n/1PP1B2P/R3R2K w - - 2 27,e2f1 h3f2,438,116,89,818,endgame mate mateIn1 oneMove,https://lichess.org/kFIT3hUj#53,,True,https://lichess.org/training/w3jgm
PNEOH,6k1/5pp1/p5r1/1p1RP3/8/1P5n/P5BP/5q1K w - - 0 36,g2f1 h3f2,441,109,95,481,endgame master mate mateIn1 oneMove,https://lichess.org/3PHH0yTK#71,,True,https://lichess.org/training/PNEOH
zgiBN,r5r1/pppqn2k/3p3b/3Pp2p/2P1PpnN/7b/PP3P1N/R1BQRB1K w - - 4 23,f1h3 g4f2,441,91,84,325,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/v5iPjmUK#45,,True,https://lichess.org/training/zgiBN
YfToZ,7k/6p1/1p1N4/4R3/6r1/7n/2P3BP/5r1K w - - 4 41,g2f1 h3f2,448,88,100,100,endgame mate mateIn1 oneMove,https://lichess.org/nushHq8F#81,,True,https://lichess.org/training/YfToZ
FCfEs,6rk/ppp4p/8/8/2P1q1n1/5Q2/PP3P1P/R6K w - - 0 27,f3e4 g4f2,458,86,58,76,endgame master mate mateIn1 oneMove,https://lichess.org/WjwjYftk#53,,True,https://lichess.org/training/FCfEs
EOPfv,1k1r1br1/ppp2p1p/3p4/8/1P1PPqn1/2P4Q/P6P/R1B2N1K w - - 0 20,c1f4 g4f2,479,100,92,356,mate mateIn1 middlegame oneMove,https://lichess.org/8ZxEq8Kp#39,,True,https://lichess.org/training/EOPfv
xHASU,8/pp1b1pp1/5k2/5P2/4n1P1/1P2N2p/PKP1R2P/7r b - - 0 31,e4g5 e3d5,483,111,87,271,endgame master mate mateIn1 oneMove,https://lichess.org/VDYbAu9h/black#62,,True,https://lichess.org/training/xHASU
ptQ2i,r4kr1/2p2p2/p3p3/R7/3P2n1/2PB4/2P2P1P/4R2K w - - 6 25,f2f3 g4f2,483,102,84,361,endgame mate mateIn1 oneMove,https://lichess.org/V3vCr19y#49,,True,https://lichess.org/training/ptQ2i
YYYHv,Q1kr3r/1bpq1p2/2Nn4/7p/4P1p1/3P3P/P4PPB/1R2KB1R b K - 3 28,b7a8 c6a7,503,96,97,1186,mate mateIn1 middlegame oneMove,https://lichess.org/pq1SvxyO/black#56,,True,https://lichess.org/training/YYYHv
Tp28M,7Q/R7/4kp2/3p4/3n2P1/pr4K1/8/8 w - - 3 61,g3f4 d4e2,511,101,97,377,endgame mate mateIn1 oneMove,https://lichess.org/I2yig6oO#121,,True,https://lichess.org/training/Tp28M
53Yav,r5r1/p1p1kp2/2pb4/4p2p/4P1n1/1PN5/PBP2P1P/3RR2K w - - 0 17,f2f3 g4f2,512,109,94,526,mate mateIn1 middlegame oneMove,https://lichess.org/brEij1Wl#33,Scotch_Game Scotch_Game_Other_variations,True,https://lichess.org/training/53Yav
883Sv,8/N4pk1/6r1/p3P3/8/2P4n/PP3p1P/5R1K w - - 1 42,f1f2 h3f2,516,96,72,227,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Evfy7tEM#83,,True,https://lichess.org/training/883Sv
FU18j,8/p1p2pk1/6p1/6r1/2P1p1n1/4P2q/P3B2P/5Q1K w - - 5 36,f1h3 g4f2,520,92,96,967,endgame mate mateIn1 oneMove,https://lichess.org/KZFauLEY#71,,True,https://lichess.org/training/FU18j
nbyed,5rk1/7p/1p1p3r/pN1Rp3/2P3P1/BP2P1n1/P5P1/6K1 w - - 3 31,b5d6 g3e2,536,96,87,214,endgame mate mateIn1 oneMove,https://lichess.org/zSWa8uOD#61,,True,https://lichess.org/training/nbyed
IwPb6,8/8/p7/1p6/PP2R3/4pNpk/4r3/6K1 b - - 0 50,b5a4 f3g5,543,87,100,263,endgame master mate mateIn1 oneMove,https://lichess.org/rcLQyNr7/black#100,,True,https://lichess.org/training/IwPb6
kpq2a,r6k/2p1pp1b/pp1p1nrQ/3P2N1/2P5/5B2/PP1KPP2/2R3R1 b - - 0 22,g6h6 g5f7,546,91,100,180,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/wplpJB4t/black#44,,True,https://lichess.org/training/kpq2a
X4Zj4,2R5/pp4rk/8/7p/6n1/5N2/P6P/4R2K w - - 1 38,e1g1 g4f2,549,87,100,149,endgame mate mateIn1 oneMove,https://lichess.org/ut5Lkbtq#75,,True,https://lichess.org/training/X4Zj4
MLQTw,r1b1k2r/ppp1Pppp/2n5/3N2B1/8/5N2/Pq2PKPP/3R1B1R b kq - 3 10,c8e6 d5c7,549,92,100,127,mate mateIn1 middlegame oneMove,https://lichess.org/piUKd5T4/black#20,Englund_Gambit Englund_Gambit_Other_variations,True,https://lichess.org/training/MLQTw
