PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
QXTzl,r1bq2rk/5pbp/ppn1p3/3pPpNP/2pP1P2/2P3Q1/PP3KP1/RNB2R2 b - - 5 16,g7h6 g5f7,493,107,98,561,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/eJcc7RMO/black#32,Sicilian_Defense Sicilian_Defense_McDonnell_Attack,True,https://lichess.org/training/QXTzl
rqPeX,r1b3k1/pp4qp/4p3/1P2p3/6n1/P3P2Q/5r1P/1B1R1R1K w - - 0 26,f1f2 g4f2,497,105,83,279,master mate mateIn1 middlegame oneMove,https://lichess.org/SrlA8oJH#51,,True,https://lichess.org/training/rqPeX
huX4k,r3kb1r/ppp3p1/3p2n1/3Pp1qp/2P1Ppn1/2N4Q/PP2BP1N/R1B1R2K w kq - 4 18,e1g1 g4f2,560,84,73,78,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/LQFgUlNn#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/huX4k
eft79,4k2r/1p1bnpbp/1q2p1P1/p2p4/1n1P1P2/2r1B1N1/PPPQB1P1/2KR1R2 w k - 0 18,b2c3 b4a2,566,88,63,67,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/7O7VYa08#35,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation,True,https://lichess.org/training/eft79
C2PgI,rqb1k2r/3n1ppp/p3p3/3pP3/1n3P2/4B3/P1PQN1PP/2KR1B1R w kq - 0 16,a2a3 b4a2,573,86,78,130,mate mateIn1 oneMove opening,https://lichess.org/3ma9PaPQ#31,French_Defense French_Defense_Steinitz_Variation,True,https://lichess.org/training/C2PgI
4Z5oZ,5rk1/5pp1/6q1/7p/5QnP/3P4/3BPP1P/6RK w - - 0 37,f2f3 g4f2,589,93,87,403,endgame mate mateIn1 oneMove,https://lichess.org/PG02JSRT#73,,True,https://lichess.org/training/4Z5oZ
H6ZqZ,r1b1kn1r/p1q1bp2/2p2n1p/3Np1p1/B3P3/P3BN2/2P2PPP/R2QK2R b KQkq - 1 13,c8b7 d5c7,592,98,91,419,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/osVbOyVl/black#26,Philidor_Defense Philidor_Defense_Hanham_Variation,True,https://lichess.org/training/H6ZqZ
xXyVu,r1b3rk/pppn1p1p/4p3/5pN1/3P4/P1PBP3/3K1P2/6Q1 b - - 2 18,f7f6 g5f7,614,95,94,148,mate mateIn1 middlegame oneMove,https://lichess.org/kRi5Rr91/black#36,Nimzo-Indian_Defense Nimzo-Indian_Defense_Samisch_Variation,True,https://lichess.org/training/xXyVu
I5yFA,r1bqk2r/ppp2ppp/4p3/2Q1P3/2pn4/2N5/PP2PPPP/R1B1KB1R w KQkq - 3 10,c3a4 d4c2,617,86,64,184,mate mateIn1 oneMove opening,https://lichess.org/H6P5BYzi#19,Queens_Gambit_Declined Queens_Gambit_Declined_Ragozin_Defense,True,https://lichess.org/training/I5yFA
1XRe4,r3kb1r/pb2pppp/1pN5/2pN1q2/8/8/PPP2PPP/R1BQ1RK1 b kq - 0 13,b7c6 d5c7,620,88,85,182,mate mateIn1 middlegame oneMove,https://lichess.org/7dQBBlqL/black#26,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,True,https://lichess.org/training/1XRe4
3lRtC,r3kb1r/pp2pppp/8/qN1Nn3/1P6/8/P4PPP/R1BQK2R b KQkq - 0 12,a5b5 d5c7,624,100,83,731,master mate mateIn1 middlegame oneMove,https://lichess.org/U7zpIt29/black#24,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,True,https://lichess.org/training/3lRtC
HKRYs,6k1/4b1qn/rp6/2pPp3/P1P2pn1/2B4Q/1PB4P/R4R1K w - - 0 35,f1g1 g4f2,625,94,83,164,mate mateIn1 middlegame oneMove,https://lichess.org/y9WqScGi#69,,True,https://lichess.org/training/HKRYs
rCNQZ,1r2r2k/6pp/p4R2/2p1p1N1/2P1P1Q1/1q6/5PPP/4R1K1 b - - 0 21,g7f6 g5f7,627,105,95,167,endgame mate mateIn1 oneMove,https://lichess.org/iicnkBRu/black#42,,True,https://lichess.org/training/rCNQZ
z0LTD,r2qk2r/pp3pp1/4pn2/7p/1b1n2bP/1QN1B1N1/PP3PP1/R3KB1R w KQkq - 0 13,b3b4 d4c2,633,109,91,282,mate mateIn1 middlegame oneMove,https://lichess.org/CaluKtIj#25,Caro-Kann_Defense Caro-Kann_Defense_Main_Line,True,https://lichess.org/training/z0LTD
Ybp7H,2r3rk/pp1b1ppp/4pB2/n2pP1N1/2q5/2P3Q1/P1P2PPP/R3R1K1 b - - 13 18,g7f6 g5f7,634,84,100,144,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/XmlWEB2g/black#36,French_Defense French_Defense_Winawer_Variation,True,https://lichess.org/training/Ybp7H
5ddRd,r3n1rk/pp1b3p/n2p3P/q1pPp1N1/2P1Pp2/P1N2P2/1P4Q1/R3KB1R b KQ - 6 21,a5d8 g5f7,637,81,100,190,mate mateIn1 middlegame oneMove,https://lichess.org/9YnZO7bU/black#42,,True,https://lichess.org/training/5ddRd
tyJAE,2k5/pp1rn3/1q2p1p1/2pp2B1/1n6/P1bP2P1/1PPQ1PB1/2KR4 w - - 0 18,b2c3 b4a2,646,91,78,326,master mate mateIn1 middlegame oneMove,https://lichess.org/jmNAOXrP#35,Sicilian_Defense Sicilian_Defense_Closed,True,https://lichess.org/training/tyJAE
YPcj4,r1b2r1k/1pp3pp/3p2q1/3B4/2PN1Pn1/pP6/P2QPP1P/3RR2K w - - 3 22,e1g1 g4f2,659,83,54,64,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/JDPQ1iDK#43,,True,https://lichess.org/training/YPcj4
yqZse,rq3rk1/2p1ppbp/6p1/p2P4/1n1N4/P1p1BP1P/1PPQ1P2/2KR3R w - - 0 18,b2c3 b4a2,661,87,100,170,mate mateIn1 middlegame oneMove,https://lichess.org/oEn5KJUl#35,Pirc_Defense Pirc_Defense_Byrne_Variation,True,https://lichess.org/training/yqZse
5IaIs,5r1b/1p1B1p1k/1q1p2pP/p3p2n/Pn1NPB1P/2r2P2/1PPQ4/2KR3R w - - 0 21,b2c3 b4a2,662,78,82,391,master mate mateIn1 middlegame oneMove,https://lichess.org/cQQRu4jT#41,,True,https://lichess.org/training/5IaIs
jy2pT,rn2kbnr/pb2pppp/1p4q1/3N4/8/5B2/PPP1NPPP/R1BQK2R b KQkq - 0 9,b8c6 d5c7,663,101,86,359,mate mateIn1 oneMove opening,https://lichess.org/WrjX8MKb/black#18,Owen_Defense Owen_Defense_Other_variations,True,https://lichess.org/training/jy2pT
cV9ZF,r1bqk2r/ppp1b1pp/4pn2/5pB1/2Pn4/2N5/PPQ1PPPP/R3KBNR w KQkq - 4 8,a1d1 d4c2,664,90,100,139,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/SViLmict#15,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,True,https://lichess.org/training/cV9ZF
UVSMM,r1bq1r1k/1p2b2p/p1npp3/2p1PpNp/5P1P/2NP4/PPP3Q1/R1B2RK1 b - - 0 16,f8g8 g5f7,667,83,82,215,mate mateIn1 middlegame oneMove,https://lichess.org/Z414UUsc/black#32,Sicilian_Defense Sicilian_Defense_McDonnell_Attack,True,https://lichess.org/training/UVSMM
PKpys,r2qr2k/ppp2p1p/2np4/6N1/1b4Q1/8/P4PPP/R4RK1 b - - 3 17,e8g8 g5f7,670,80,100,392,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZZtRKMFf/black#34,Bishops_Opening Bishops_Opening_Urusov_Gambit,True,https://lichess.org/training/PKpys
CjzgI,5r1k/3b3p/p1p1p2q/P1p1P1N1/2Pp4/3P2Q1/1P5P/5NK1 b - - 0 28,f8g8 g5f7,670,97,85,533,endgame mate mateIn1 oneMove,https://lichess.org/uGrkpOmE/black#56,,True,https://lichess.org/training/CjzgI
