PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
Yvtu3,7r/8/R7/1Bp1pppp/2PbR1kP/6P1/P5K1/8 b - - 0 30,f5e4 b5d7,613,95,85,278,endgame master mate mateIn1 oneMove,https://lichess.org/aKzvI708/black#60,,True,https://lichess.org/training/Yvtu3
PiSO7,8/1pk5/pRb2p1r/P2p1Kp1/3Pp2p/2P4P/5PP1/4R3 w - - 4 38,b6b4 c6d7,624,86,81,220,endgame mate mateIn1 oneMove,https://lichess.org/HYPkGaGJ#75,,True,https://lichess.org/training/PiSO7
Yjzmx,6k1/pp6/3Pp3/4b2p/5r2/5P2/P3nNPK/1R3R2 w - - 1 29,f2d3 f4h4,649,82,100,927,anastasiaMate doubleCheck endgame master mate mateIn1 oneMove,https://lichess.org/FOYHnnDm#57,,True,https://lichess.org/training/Yjzmx
QbBUz,3B4/2R5/pk1p4/P7/2K1P3/1P4rr/8/8 b - - 0 69,b6a5 c7g7,658,94,92,259,discoveredAttack endgame mate mateIn1 oneMove,https://lichess.org/hi0LTupd/black#138,,True,https://lichess.org/training/QbBUz
uEywl,8/5pb1/1R6/3B2pk/p7/5KP1/8/4r3 b - - 2 39,e1d1 d5f7,663,79,84,243,endgame mate mateIn1 oneMove,https://lichess.org/TsB3W5Tg/black#78,,True,https://lichess.org/training/uEywl
ONv5y,8/1kp5/p4b2/Q4p2/1P2pp2/P1qP3P/b5r1/K1R2R2 w - - 0 39,c1c3 f6c3,678,95,97,274,endgame mate mateIn1 oneMove,https://lichess.org/MAFbhiNh#77,,True,https://lichess.org/training/ONv5y
ZRS0h,r1b4k/1p5p/4p1R1/7P/6p1/1PBP2P1/p5r1/2K2R2 b - - 2 27,e6e5 c3e5,678,103,90,694,endgame mate mateIn1 oneMove,https://lichess.org/rMVxUzp1/black#54,,True,https://lichess.org/training/ZRS0h
wSSx3,r3q2k/1p5p/p5R1/3b4/P2Bp3/2P3P1/1P5P/6K1 b - - 1 27,e8e5 d4e5,683,99,93,122,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/DFUOzOze/black#54,,True,https://lichess.org/training/wSSx3
94y3d,1r2Q3/R6p/3p2k1/1B3pP1/5P2/2b3P1/6K1/8 b - - 0 41,b8e8 b5e8,727,85,96,228,endgame master mate mateIn1 oneMove,https://lichess.org/ZGgqwleh/black#82,,True,https://lichess.org/training/94y3d
ZgPZO,7k/pp5p/6R1/5p2/3B1b2/2P4P/rP3PK1/8 b - - 1 34,f4e5 d4e5,729,97,85,445,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/bZllakhA/black#68,,True,https://lichess.org/training/ZgPZO
ur7Ku,8/1Q6/1p5p/pB1Pp3/1bPkb3/1K3r2/P6P/R7 w - - 4 34,b3a4 e4c2,735,84,64,97,endgame mate mateIn1 oneMove,https://lichess.org/ffKiqOkl#67,,True,https://lichess.org/training/ur7Ku
4jiKn,r5k1/pbpn2pp/1p1pp2r/5p2/2PPn2q/1P2P1P1/PB2BP1P/R2Q2RK w - - 0 18,g3h4 e4f2,736,89,88,346,doubleCheck kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/E3A06kSS#35,Horwitz_Defense Horwitz_Defense_Other_variations,True,https://lichess.org/training/4jiKn
Rs9Tn,5k2/6pp/8/b3Nb2/P1B5/1P6/6rP/K1R5 w - - 1 37,c1f1 a5c3,738,78,83,116,endgame master mate mateIn1 oneMove,https://lichess.org/RFjFhvzm#73,,True,https://lichess.org/training/Rs9Tn
a8zYb,2r4k/1R2B3/6p1/p4p2/2Bb1P1p/3P3P/P3r1PK/8 b - - 1 35,d4f2 e7f6,743,90,88,64,endgame mate mateIn1 oneMove,https://lichess.org/MCIWIwm7/black#70,,True,https://lichess.org/training/a8zYb
BmzRb,8/8/2r1b3/1R1p1kBK/4p1pP/4P1P1/5P2/8 w - - 5 47,b5b8 e6f7,748,80,100,57,endgame mate mateIn1 oneMove,https://lichess.org/bVrI5mv9#93,,True,https://lichess.org/training/BmzRb
px4mS,8/6kp/8/4PP2/Rb4P1/pr3K2/2b5/2R5 w - - 0 46,f3f4 b4d2,755,82,86,116,endgame master mate mateIn1 oneMove,https://lichess.org/SqfYJmA6#91,,True,https://lichess.org/training/px4mS
zwaBt,rkb4r/4Rppp/p1qQ4/2p5/5Bn1/8/PPP2PPP/RN4K1 b - - 0 16,c6d6 f4d6,759,93,92,53,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/YAjXdVnB/black#32,Ruy_Lopez Ruy_Lopez_Morphy_Defense,True,https://lichess.org/training/zwaBt
puGN8,r1b3k1/ppp2pp1/7p/8/2B5/1QN2q2/PP1r2Pb/R3RK2 w - - 0 18,g2f3 c8h3,761,107,97,345,mate mateIn1 middlegame oneMove,https://lichess.org/VKnDyB58#35,Bishops_Opening Bishops_Opening_Ponziani_Gambit,True,https://lichess.org/training/puGN8
GCB5h,k3B3/P3R3/8/2p5/2P1K3/1P1n3r/5p2/8 b - - 1 52,f2f1q e8c6,765,82,100,208,endgame mate mateIn1 oneMove,https://lichess.org/X0j0DNMM/black#104,,True,https://lichess.org/training/GCB5h
bgpwY,7k/5pp1/2p5/4q3/2P1P3/r3bN1P/p3B1P1/K4R2 w - - 0 37,f3e5 e3d4,770,76,83,84,endgame mate mateIn1 oneMove,https://lichess.org/ZIxuTw5d#73,,True,https://lichess.org/training/bgpwY
9AyJz,8/2R3k1/6p1/1p2p2p/1B2Pn1P/2P2K2/3N2r1/3n4 b - - 10 50,g7h6 b4f8,776,104,91,288,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/C794mmie/black#100,,True,https://lichess.org/training/9AyJz
kfdF8,8/8/5kp1/1p3p1p/1Pb4P/P2NRPPK/r7/8 w - - 9 58,d3e5 c4f1,778,91,98,389,endgame mate mateIn1 oneMove,https://lichess.org/oMBiC3Cj#115,,True,https://lichess.org/training/kfdF8
G8Cxr,3k4/7R/4p2p/3pB1p1/1b1P2P1/5PKP/r7/8 w - - 4 40,h7h6 b4e1,780,79,90,183,endgame master mate mateIn1 oneMove,https://lichess.org/hutorPGf#79,,True,https://lichess.org/training/G8Cxr
Qu7RR,6B1/7R/p7/4N1k1/1p1P1pPp/5P1K/P1r1b3/8 w - - 3 40,h7h4 e2f1,788,77,100,109,endgame mate mateIn1 oneMove,https://lichess.org/IJlYcXq2#79,,True,https://lichess.org/training/Qu7RR
vFwqN,8/1R1B2k1/4p2p/3pPbp1/8/1P2P1K1/4r2P/8 b - - 5 51,g7g6 d7e8,796,80,100,283,endgame mate mateIn1 oneMove,https://lichess.org/Oa3Qlm4c/black#102,,True,https://lichess.org/training/vFwqN
6mYLZ,8/2p2k1p/B5pB/1P3p2/6P1/P6P/r4bb1/2R1K3 w - - 8 41,e1d1 g2f3,796,106,94,698,endgame mate mateIn1 oneMove,https://lichess.org/QxyFsizs#81,,True,https://lichess.org/training/6mYLZ
hTTIJ,3r1q1k/4R3/1pp2Qp1/p3Bp1p/P1B5/2P2b2/1P1p4/RK6 b - - 0 40,f8f6 e5f6,798,79,100,75,mate mateIn1 middlegame oneMove,https://lichess.org/zjnNuAiX/black#80,,True,https://lichess.org/training/hTTIJ
kEZGz,8/PR1P2bP/6k1/2p5/4p3/4p3/5r2/3B1K2 w - - 1 51,f1e1 g7c3,799,80,99,1297,endgame mate mateIn1 oneMove,https://lichess.org/dms26oD4#101,,True,https://lichess.org/training/kEZGz
nToY3,6k1/5pp1/4p2p/2N5/Q2PP3/2P1b1PP/1r2b3/7K w - - 5 38,a4a1 e2f3,802,88,94,597,endgame mate mateIn1 oneMove,https://lichess.org/gcbP9doO#75,,True,https://lichess.org/training/nToY3
3me3b,k2r3r/B3R3/p1np1p2/2QB3p/6p1/8/P1P3PP/6K1 b - - 0 26,d6c5 d5c6,802,78,100,202,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/smSFs6m2/black#52,,True,https://lichess.org/training/3me3b
FpRkn,8/7p/p1RBb1k1/1pP1P3/6r1/P1P5/7P/7K w - - 1 41,c6a6 e6d5,810,85,92,145,endgame mate mateIn1 oneMove,https://lichess.org/KelhzhRZ#81,,True,https://lichess.org/training/FpRkn
