PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,Quadrant,rook_king_dir,puzzle_ref
yYT1g,4r3/1k3ppp/p7/2b5/4b3/P2r1P2/1P2B1PP/R1B2K2 w - - 0 24,e2d3 e4d3,399,93,50,175,endgame master mate mateIn1 oneMove,https://lichess.org/XxHoY8q8#47,,True,,,https://lichess.org/training/yYT1g
6lkVa,4r2k/7p/6pP/1p1qpPB1/p2p4/P7/1PP3RP/R6K b - - 1 34,g6f5 g5f6,412,106,99,1550,endgame mate mateIn1 oneMove,https://lichess.org/Xpvnzup8/black#68,,True,,,https://lichess.org/training/6lkVa
Qi2GW,r4r1k/pppq1pbp/2np1N2/4p1Bb/2P1P3/3P1N2/PP2BP1P/R2QK1R1 b Q - 0 12,g7f6 g5f6,436,106,71,333,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/XiG0BYfW/black#24,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack,True,,,https://lichess.org/training/Qi2GW
Sw8vj,r1b2k1N/pp1p1Bbp/2p3p1/2B5/8/8/PPP3PP/2K1R2n b - - 9 17,d7d6 c5d6,448,102,79,262,mate mateIn1 middlegame oneMove,https://lichess.org/lEIUX3zQ/black#34,Four_Knights_Game Four_Knights_Game_Scotch_Variation,True,,,https://lichess.org/training/Sw8vj
uMM52,3r2nr/pp1Bkppp/4p3/q1Q1P3/5PPP/2b1B3/PP6/2KR3R b - - 2 17,a5c5 e3c5,507,101,96,266,mate mateIn1 middlegame oneMove,https://lichess.org/Hkkt5VNB/black#34,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,True,,,https://lichess.org/training/uMM52
4LCTP,r4r1k/1p5p/1ppp4/4Q3/1PPB1p2/P4q2/5PRP/R6K b - - 0 25,d6e5 d4e5 f8f6 e5f6,532,85,100,177,endgame mate mateIn2 short,https://lichess.org/kvos38TV/black#50,,True,,,https://lichess.org/training/4LCTP
IjOk6,r5k1/p4Rpp/2p1B3/8/1rP5/3P4/1b5P/5R1K b - - 1 29,b4b8 f7f8,534,99,71,416,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/drctfgda/black#58,,True,,,https://lichess.org/training/IjOk6
f6lvj,2R5/2P2Qbk/5q2/r6p/6pK/6P1/5P1P/8 w - - 2 46,f7f6 g7f6,542,94,100,235,endgame mate mateIn1 oneMove,https://lichess.org/6JvQhHul#91,,True,,,https://lichess.org/training/f6lvj
TKNoZ,1k1r1nr1/pp3p2/3b4/1B1Pp2p/4N1b1/5q2/3Q1PPP/R4R1K w - - 0 25,g2f3 g4f3,557,101,97,532,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/TEeuwkB3#49,,True,,,https://lichess.org/training/TKNoZ
Pf9tz,2kr1br1/ppp2p1p/4pp2/8/2B3b1/P2P1q2/1PPB1P1P/R2QR2K w - - 0 15,d1f3 g4f3,561,95,79,136,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/7a10pfsI#29,Scandinavian_Defense Scandinavian_Defense_Main_Line,True,,,https://lichess.org/training/Pf9tz
NdyCa,7k/p2P1p1p/2p5/2b1r1B1/8/8/PP4R1/1K6 b - - 0 35,c5b6 g5f6,570,115,85,45,endgame mate mateIn1 oneMove,https://lichess.org/zSG73zMg/black#70,,True,,,https://lichess.org/training/NdyCa
R7rhS,2kr3r/pp3ppp/8/3b4/1bN1p3/4P3/1B3PPP/R3KB1R w KQ - 0 16,e1e2 d5c4,573,97,89,772,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/5cjdmAGB#31,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations,True,,,https://lichess.org/training/R7rhS
dTP6W,2rq2n1/pp2b1Pk/3pp2P/2p1PQ2/P7/2NBB3/1PP5/2K3R1 b - - 0 26,e6f5 d3f5,577,103,98,1347,mate mateIn1 middlegame oneMove,https://lichess.org/TzqZXtLB/black#52,,True,,,https://lichess.org/training/dTP6W
D0Jp3,6k1/p1p5/1p6/2b1n3/3r1P2/P5Nb/1P5P/R5KR w - - 1 31,f4e5 d4d2,582,87,100,59,discoveredAttack endgame mate mateIn1 oneMove,https://lichess.org/OO4ykPzW#61,,True,,,https://lichess.org/training/D0Jp3
esDL0,2r1r2k/7p/pp1p4/3b1pB1/2P1pP1P/2Kn4/P2NR1R1/8 b - - 2 35,b6b5 g5f6,584,84,86,422,mate mateIn1 middlegame oneMove,https://lichess.org/FVYAylsu/black#70,,True,,,https://lichess.org/training/esDL0
FBcPI,rn2k1r1/pp3p2/3p3p/2pPp3/P1B1Ppbq/1P4P1/2P2P1P/R1Q2R1K w q - 0 16,g3h4 g4f3,592,99,100,54,mate mateIn1 middlegame oneMove,https://lichess.org/0Dhjxh22#31,Benoni_Defense Benoni_Defense_Semi-Benoni,True,,,https://lichess.org/training/FBcPI
VVbdD,r3k1r1/pp3p2/2n5/2pqpp1p/6bP/2NP4/PPPQ1P1P/R1B2R1K w q - 0 15,c3d5 g4f3,598,80,85,173,mate mateIn1 middlegame oneMove,https://lichess.org/fwLtKTIk#29,Scandinavian_Defense Scandinavian_Defense_Other_variations,True,,,https://lichess.org/training/VVbdD
OkZaM,r6k/1ppb1q1p/3p4/p1nPppBQ/2P1P2P/2N5/PP3P2/2K3R1 b - - 5 24,f7h5 g5f6,600,102,98,480,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/pxNZLnj5/black#48,,True,,,https://lichess.org/training/OkZaM
1JIW5,rn3r1k/pp2bp1p/2pp4/3q4/8/2B5/P5RP/6RK b - - 4 25,e7f6 c3f6,600,97,77,126,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/mfKae0kk/black#50,,True,,,https://lichess.org/training/1JIW5
Zubpy,4r1k1/4P1pp/7b/5K2/p6P/2P5/4R1B1/2r1B3 b - - 2 38,g8f7 g2d5,600,77,82,200,endgame mate mateIn1 oneMove,https://lichess.org/OQGcHh9c/black#76,,True,,,https://lichess.org/training/Zubpy
kldBS,3rr2k/p4p1p/1pp5/2n1PpB1/2P5/P6P/4PP2/R3K1R1 b Q - 1 23,d8d7 g5f6,601,81,100,268,endgame mate mateIn1 oneMove,https://lichess.org/dBSHwjyY/black#46,,True,,,https://lichess.org/training/kldBS
ds1kw,r4bk1/p4p2/4P1pK/7p/5P2/P5rP/1B2R1P1/R7 w - - 1 31,b2g7 f8g7,603,89,100,244,endgame mate mateIn1 oneMove,https://lichess.org/0R1DQrK0#61,,True,,,https://lichess.org/training/ds1kw
FOY2Y,r5rk/pp3p1p/3p1p2/8/4Pqb1/P1PB2P1/1P3P1P/R4R1K w - - 0 22,g3f4 g4f3,615,86,100,52,endgame mate mateIn1 oneMove,https://lichess.org/nIVJhBAt#43,,True,,,https://lichess.org/training/FOY2Y
mcUgc,r3kbr1/pp3p2/2n4p/2ppP3/3P2bq/N1P3B1/PP1Q1P1P/R4R1K w q - 0 18,g3h4 g4f3,616,98,94,572,mate mateIn1 middlegame oneMove,https://lichess.org/17Hcb0uV#35,French_Defense French_Defense_Advance_Variation,True,,,https://lichess.org/training/mcUgc
7ZmBJ,3r2k1/Q3ppbp/6p1/2p5/2b5/2P3P1/P4P1P/Rr2K3 w - - 0 22,a1b1 g7c3,620,205,100,18,endgame mate mateIn1 oneMove,https://lichess.org/cYCFLXgF#43,,True,,,https://lichess.org/training/7ZmBJ
3bQuP,4r2k/5q1p/bpnb4/2n1pPBQ/p2pP2P/P2P2R1/1P4B1/R3N1K1 b - - 3 27,f7h5 g5f6,621,97,80,428,master mate mateIn1 middlegame oneMove,https://lichess.org/8UEM3EeY/black#54,,True,,,https://lichess.org/training/3bQuP
Uk2NR,r4r1k/pppb3p/3p3n/3Pp1B1/4P3/P4PR1/1PP2P2/2KR4 b - - 0 18,h6f7 g5f6,623,89,69,166,mate mateIn1 middlegame oneMove,https://lichess.org/ygkRSkLM/black#36,Scotch_Game Scotch_Game_Other_variations,True,,,https://lichess.org/training/Uk2NR
Ij513,r4rk1/ppp2Rpp/3p4/2q5/4P1b1/1BP1P3/PP2Q1PP/5RK1 b - - 0 18,g4e2 f7f8,625,100,93,441,doubleCheck kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Fddfkq8a/black#36,Italian_Game Italian_Game_Classical_Variation,True,,,https://lichess.org/training/Ij513
RY5Y3,7k/1b3p1p/p3p3/1p4B1/5P2/1P5r/P1r2R1P/3K2R1 b - - 11 39,c2f2 g5f6,629,102,100,57,endgame mate mateIn1 oneMove,https://lichess.org/zpceO679/black#78,,True,,,https://lichess.org/training/RY5Y3
sKZzf,1r1q3r/2p3bk/pp2p1Qp/4p1p1/P1PP2P1/4BB1P/1P5K/3R1R2 b - - 0 25,h7g6 f3e4,631,88,100,83,master mate mateIn1 middlegame oneMove,https://lichess.org/bGnUucK9/black#50,,True,,,https://lichess.org/training/sKZzf
jZgSn,8/5p2/1b3Pkp/p5p1/6P1/P1P2B2/1P1q3P/5R1K b - - 5 42,b6c7 f3e4,631,82,100,155,endgame master mate mateIn1 oneMove,https://lichess.org/KjoGbwpi/black#84,,True,,,https://lichess.org/training/jZgSn
Notp9,r5k1/pp3Rpp/2n5/2P5/3r4/1B1p4/3P2PP/5R1K b - - 2 33,d4d8 f7f8,633,92,88,843,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/RHluC4N2/black#66,,True,,,https://lichess.org/training/Notp9
QsoNL,r4r1k/5p1p/5Q2/4Bq2/3P3P/4P3/PP3P2/3K2R1 b - - 0 33,f5f6 e5f6,634,80,99,883,endgame mate mateIn1 oneMove,https://lichess.org/R9tuMdUi/black#66,,True,,,https://lichess.org/training/QsoNL
mTJKL,r4r1k/p4ppp/3p1Q2/2p3B1/2pPq3/2P4P/PP4R1/R5K1 b - - 0 22,g7f6 g5f6,635,83,71,61,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/BSltHjDk/black#44,,True,,,https://lichess.org/training/mTJKL
v3tuv,r1b1r2k/1p1p1p1p/p2Pp3/4nQB1/2P4P/2P5/P7/2K3R1 b - - 0 26,e6f5 g5f6,640,86,56,98,endgame mate mateIn1 oneMove,https://lichess.org/B1RstEKa/black#52,,True,,,https://lichess.org/training/v3tuv
8iKQD,3r3k/pb5p/8/2ppnPB1/P1n1r3/2P3R1/2K4P/5R2 b - - 3 31,d8e8 g5f6,640,86,100,137,master mate mateIn1 middlegame oneMove,https://lichess.org/LhkTc8eq/black#62,,True,,,https://lichess.org/training/8iKQD
MiTSF,7k/5p1p/1p6/1PpbP1B1/3p2R1/3P4/r6P/4K3 b - - 0 37,a2h2 g5f6,642,80,100,713,endgame mate mateIn1 oneMove,https://lichess.org/Wi29KGzJ/black#74,,True,,,https://lichess.org/training/MiTSF
