PuzzleId|FEN|Moves|Rating|RatingDeviation|Popularity|NbPlays|Themes|GameUrl|OpeningTags|PatternMatch|puzzle_ref
ME1mj|r2r4/1p3R2/p5pk/4R3/6b1/BN6/PPP4P/2K5 w - - 1 26|f7b7 d8d1|399|106|86|197|mate mateIn1 middlegame oneMove|https://lichess.org/ClbI0a8F#51||True|https://lichess.org/training/ME1mj
6uQeY|8/1p6/p2R2k1/5p2/P7/1rn1BK2/5P2/8 b - - 2 41|g6h5 d6h6|399|108|87|323|endgame mate mateIn1 oneMove|https://lichess.org/XVV2pmkV/black#82||True|https://lichess.org/training/6uQeY
lnPZ6|2r1k1nr/1p3pp1/p1B1p2p/8/2p4B/P7/P4PPP/3R1K1R b k - 0 17|c8c6 d1d8|399|116|90|386|endgame mate mateIn1 oneMove|https://lichess.org/iqmAFaOL/black#34|Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation|True|https://lichess.org/training/lnPZ6
csblw|r1b3k1/3p2pp/2pBr3/pp2P3/8/5R2/P4PPP/4R1K1 b - - 1 25|a5a4 f3f8|399|99|84|417|endgame mate mateIn1 oneMove|https://lichess.org/IsPf6VIy/black#50||True|https://lichess.org/training/csblw
CDyQB|6k1/2R2N1p/4pnp1/1b1pN3/8/4P3/5RPP/r5K1 w - - 1 28|f2f1 a1f1|399|108|81|460|mate mateIn1 middlegame oneMove|https://lichess.org/G9n8w9Qa#55||True|https://lichess.org/training/CDyQB
39gCI|2r3k1/p5pp/8/1p2n3/1B3RP1/P3K3/2P4P/8 b - - 3 31|c8c2 f4f8|399|95|74|180|endgame mate mateIn1 oneMove|https://lichess.org/hfBIGtCg/black#62||True|https://lichess.org/training/39gCI
6ozfH|rnb1kb1r/p4p1p/4pB2/1p6/2p5/8/PP3PPP/3RKBNR b Kkq - 0 11|h8g8 d1d8|399|116|91|492|mate mateIn1 middlegame oneMove|https://lichess.org/K9I5ow92/black#22|Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation|True|https://lichess.org/training/6ozfH
DritS|8/p5qk/b2Q1rpp/2p1N3/8/2P5/PPB3PP/6K1 w - - 2 36|d6c5 f6f1|399|108|89|633|endgame master mate mateIn1 oneMove|https://lichess.org/9dapy7yj#71||True|https://lichess.org/training/DritS
iLhzP|3r4/8/8/4k1pp/P1p3b1/8/1PPB2R1/2K5 w - - 0 39|d2g5 d8d1|399|114|83|179|endgame mate mateIn1 oneMove|https://lichess.org/Pp0NZQBX#77||True|https://lichess.org/training/iLhzP
tCMow|3rkbnr/4pppp/p7/1pp1P3/6b1/N1P5/P3PPPP/R1B1KB1R w KQk - 0 11|e2e4 d8d1|399|108|96|682|mate mateIn1 middlegame oneMove|https://lichess.org/Dgxr4zav#21|Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation|True|https://lichess.org/training/tCMow
F8JBB|3R4/4r3/8/ppR3p1/kb4Q1/5P1p/2P2P1P/5K2 w - - 3 39|c5d5 e7e1|399|111|96|370|endgame mate mateIn1 oneMove|https://lichess.org/WNu2aqcZ#77||True|https://lichess.org/training/F8JBB
LLcaX|rnb1k2r/pp3ppp/2p1p3/q5B1/2B5/2Q2N2/P1P2PPP/1K1R3R b kq - 0 12|a5c3 d1d8|399|107|95|393|mate mateIn1 middlegame oneMove|https://lichess.org/ymV7Dbfp/black#24|Van_Geet_Opening Van_Geet_Opening_Dunst-Perrenet_Gambit|True|https://lichess.org/training/LLcaX
gFdTU|4r1k1/6pp/2pBQ3/3p4/p3b3/6P1/PPP4P/5RK1 b - - 0 25|e8e6 f1f8|399|117|89|640|endgame master mate mateIn1 oneMove|https://lichess.org/5OvuPgOc/black#50||True|https://lichess.org/training/gFdTU
