PuzzleId|FEN|Moves|Rating|RatingDeviation|Popularity|NbPlays|Themes|GameUrl|OpeningTags|PatternMatch|puzzle_ref
Mtq9i|3r1Q1k/pp4p1/1qp4p/8/3P2P1/4P2P/PPB5/5RK1 b - - 3 29|d8f8 f1f8|399|107|100|353|endgame master mate mateIn1 oneMove|https://lichess.org/Kgcn6yxg/black#58||True|https://lichess.org/training/Mtq9i
00w1s|rn2Q1k1/pb1q1p1p/1p1p2pB/3P3n/8/2bB1N1P/PP3PP1/4R1K1 b - - 1 18|d7e8 e1e8|399|114|94|742|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/BOlWIbHT/black#36|English_Defense English_Defense_Other_variations|True|https://lichess.org/training/00w1s
cYGth|2r1R1k1/pb1p1p1p/1p4pB/2p2P2/2P3P1/2Pr4/P6P/4R1K1 b - - 3 30|c8e8 e1e8|399|108|81|940|endgame kingsideAttack mate mateIn1 oneMove|https://lichess.org/SJzngvLL/black#60||True|https://lichess.org/training/cYGth
tGRuk|6k1/1p1r1p1p/p1rPp1pB/2PR4/1P6/P7/5PPP/4R1K1 b - - 0 34|e6d5 e1e8|399|116|75|146|endgame mate mateIn1 oneMove|https://lichess.org/m5Mizm1j/black#68||True|https://lichess.org/training/tGRuk
ikYae|r1brQ1k1/p4p1p/1qp3pB/2np4/8/3B4/PPP2PPP/RN2R1K1 b - - 4 16|d8e8 e1e8|399|116|86|485|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/efK4QJWH/black#32|Scotch_Game Scotch_Game_Other_variations|True|https://lichess.org/training/ikYae
znjg4|6k1/1rB2pp1/p6p/3R1B2/2p5/6P1/2PK3P/7r b - - 8 34|b7c7 d5d8|399|99|87|122|endgame mate mateIn1 oneMove|https://lichess.org/kxMAZcLm/black#68||True|https://lichess.org/training/znjg4
v97i7|1rQ3k1/1r5p/4P1p1/3P4/5P2/P4qP1/1BR4P/K2R4 b - - 2 42|b8c8 c2c8|399|94|100|168|endgame mate mateIn1 oneMove|https://lichess.org/psFC1z8T/black#84||True|https://lichess.org/training/v97i7
ait3K|4R2k/1p1b4/p1p4p/3p2pN/P2q4/3B1R1P/5PPK/8 b - - 0 32|d7e8 f3f8|399|106|92|360|endgame mate mateIn1 oneMove|https://lichess.org/1huAqE93/black#64||True|https://lichess.org/training/ait3K
sC7vx|r4Q1k/6p1/1p5p/1qpp4/8/P1P5/1PB3PP/5RK1 b - - 3 25|a8f8 f1f8|399|100|100|202|endgame mate mateIn1 oneMove|https://lichess.org/DlvTb6NH/black#50||True|https://lichess.org/training/sC7vx
zEvPM|5k2/p6p/1p1b2p1/8/8/PQ5P/1P4P1/2rRq2K w - - 3 29|d1e1 c1e1|399|99|68|146|endgame mate mateIn1 oneMove|https://lichess.org/p1hEE1Ko#57||True|https://lichess.org/training/zEvPM
tKiPM|4rQ1k/2p3p1/p2p3p/2q5/4B3/2N4P/PP6/5R1K b - - 7 28|e8f8 f1f8|399|94|96|387|endgame mate mateIn1 oneMove|https://lichess.org/JDZ7yBVn/black#56||True|https://lichess.org/training/tKiPM
qvFSy|5r2/p7/1p2k3/4b3/2R5/4R2P/P5P1/7K w - - 5 42|c4e4 f8f1|399|119|78|292|endgame mate mateIn1 oneMove|https://lichess.org/nfNiaPQJ#83||True|https://lichess.org/training/qvFSy
eKfDF|2k1Q1q1/pp1n1Np1/2pB2p1/2P2r2/3P2n1/8/PP4P1/4R1K1 b - - 3 25|g8e8 e1e8|399|112|75|429|mate mateIn1 middlegame oneMove|https://lichess.org/RpulFRMf/black#50||True|https://lichess.org/training/eKfDF
VFdKf|r3rk1Q/pb3pp1/2p1p1n1/1p2P1B1/3P4/7R/P4PPP/6K1 b - - 10 22|g6h8 h3h8|399|110|85|525|endgame mate mateIn1 oneMove|https://lichess.org/BjTNISBy/black#44||True|https://lichess.org/training/VFdKf
8MiCd|7k/1pr3p1/p5Bp/3pP2P/4PP2/1Pr5/P7/1K1R4 b - - 0 34|d5e4 d1d8|399|100|100|222|endgame master mate mateIn1 oneMove|https://lichess.org/CyFanBC1/black#68||True|https://lichess.org/training/8MiCd
4ia6d|r3rk2/p6Q/3b2p1/8/3P4/7P/P1R3P1/2R1q2K w - - 2 29|c1e1 e8e1|399|114|97|821|endgame mate mateIn1 oneMove|https://lichess.org/Y3vbPfiY#57||True|https://lichess.org/training/4ia6d
6czEd|r1bk1Q1r/ppp1n1pp/3p4/1B6/4q3/8/P1P3PP/R4R1K b - - 1 16|h8f8 f1f8|399|100|74|193|mate mateIn1 middlegame oneMove|https://lichess.org/hjIOX9Lu/black#32|Scotch_Game Scotch_Game_Other_variations|True|https://lichess.org/training/6czEd
uwh4l|r4k2/4pp2/3p2p1/3P3p/2pBn3/6PP/R4P2/1R4K1 b - - 0 32|a8a2 b1b8|399|102|79|181|endgame mate mateIn1 oneMove|https://lichess.org/pUbTiFYQ/black#64||True|https://lichess.org/training/uwh4l
kKTGE|6k1/2pb2p1/1p1b1p1p/3P1p1Q/2P1r3/7P/P1R2BP1/4q2K w - - 11 34|f2e1 e4e1|399|114|85|163|endgame master mate mateIn1 oneMove|https://lichess.org/JtcdBf5H#67||True|https://lichess.org/training/kKTGE
9w1KV|r1bq1Q1k/pp4p1/7p/2pp4/8/2PBr1P1/PP1N2PP/R4RK1 b - - 2 17|d8f8 f1f8|399|112|88|411|kingsideAttack mate mateIn1 middlegame oneMove|https://lichess.org/qcOZXeYK/black#34|Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System|True|https://lichess.org/training/9w1KV
FOTOP|8/4r1kp/ppb3p1/2p5/P1P3B1/2P3P1/5P1P/3R2K1 w - - 0 30|d1d6 e7e1|399|109|83|164|endgame mate mateIn1 oneMove|https://lichess.org/0Zu3DzNf#59||True|https://lichess.org/training/FOTOP
dANso|r1b3kr/pp3p1p/2p2Q1B/3p1q2/8/2P5/PP3PPP/2K1RB1R b - - 0 18|f5f6 e1e8|399|107|100|153|mate mateIn1 middlegame oneMove|https://lichess.org/Vr83MQbW/black#36|Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit|True|https://lichess.org/training/dANso
5p6Km|3r4/p2r1ppk/1p2qR1p/4b2Q/2P3R1/7P/P5P1/2B4K w - - 0 32|f6e6 d7d1|399|106|78|93|mate mateIn1 middlegame oneMove|https://lichess.org/O3ndIbPb#63||True|https://lichess.org/training/5p6Km
