PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref,King_x,King_y,dir_detail
iknTu,2r1r3/p2kR1pp/npp3b1/q7/8/2NPQ3/1bP2P1P/1K2R3 b - - 1 27,e8e7 e3e7,399,113,81,340,mate mateIn1 middlegame oneMove,https://lichess.org/m2YTtzxp/black#54,,True,https://lichess.org/training/iknTu,3,6,Queen_right_King
3VwP6,r2q1b1r/pp3kpp/1np1bn2/6N1/8/8/PPPPQPPP/R1B1K2R b KQ - 1 10,f7e7 e2e6,400,92,75,202,mate mateIn1 oneMove opening,https://lichess.org/J7ESbQ12/black#20,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,True,https://lichess.org/training/3VwP6,4,6,Queen_below_King
YOvRI,1r1q1b1r/p3k1pp/2Bpppb1/6B1/8/2P4P/PPP1QPP1/R3R1K1 b - - 1 16,f6g5 e2e6,400,102,100,269,mate mateIn1 middlegame oneMove,https://lichess.org/xCnRCNqB/black#32,Alekhine_Defense Alekhine_Defense_Normal_Variation,True,https://lichess.org/training/YOvRI,4,6,Queen_below_King
ZhRCA,r2q1r2/ppp1k1p1/3pNn1p/2b1p3/3nP3/1B5Q/PPP2PPP/R1B2RK1 b - - 1 13,d4e6 h3e6,412,90,63,175,mate mateIn1 middlegame oneMove,https://lichess.org/cGOesDtR/black#26,Italian_Game Italian_Game_Two_Knights_Defense,True,https://lichess.org/training/ZhRCA,4,6,Queen_below_King
X2IJZ,3r1k2/4Pp1p/3p4/1p2p3/1P2q3/1BP4P/1P4PK/5Q2 b - - 0 31,f8e7 f1f7,418,101,100,168,endgame mate mateIn1 oneMove,https://lichess.org/53yc0unU/black#62,,True,https://lichess.org/training/X2IJZ,4,6,Queen_right_King
u4paQ,rnb1k2r/pp1p1ppp/2p5/2q5/4P1n1/2NPBN2/PPP2KPP/R2Q1B1R w kq - 3 9,f2e2 c5e3,418,109,93,591,mate mateIn1 oneMove opening,https://lichess.org/DLnpWAy5#17,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,True,https://lichess.org/training/u4paQ,4,1,Queen_above_King
HNUCz,7r/p4pk1/1p4q1/4P1b1/3P4/2P2QP1/PP4K1/5R2 b - - 2 35,g6h6 f3f7,421,94,77,274,endgame mate mateIn1 oneMove,https://lichess.org/oVGhKelL/black#70,,True,https://lichess.org/training/HNUCz,6,6,Queen_left_King
iyjBU,3r1rk1/1p2p1b1/5qp1/p1pPp1p1/P1P3P1/1PB1P2R/2Q2PK1/7R w - - 4 38,c2e4 f6f2,423,112,86,730,master mate mateIn1 middlegame oneMove,https://lichess.org/0AlprUha#75,,True,https://lichess.org/training/iyjBU,6,1,Queen_left_King
4wDcK,2r4r/pp1kb1pp/2qn1p2/8/5B1P/2PPQ1P1/PP3P2/2KRR3 b - - 2 22,d6b5 e3e7,430,95,100,413,mate mateIn1 middlegame oneMove,https://lichess.org/bCOMhjhL/black#44,,True,https://lichess.org/training/4wDcK,3,6,Queen_right_King
JC1qm,r2q3r/ppp1k1pp/3p1p1n/2b1p2Q/3nP3/1B1P4/PPP2PPP/RNB1K2R b KQ - 4 10,h6f7 h5f7,445,99,100,289,mate mateIn1 middlegame oneMove,https://lichess.org/p6M7yChg/black#20,Italian_Game Italian_Game_Giuoco_Pianissimo,True,https://lichess.org/training/JC1qm,4,6,Queen_right_King
TQkou,6R1/p2r2kq/1p1p1p1r/3Qp1p1/4P3/1B4P1/PP3R1P/6K1 b - - 7 31,h7g8 d5g8,453,110,94,269,endgame mate mateIn1 oneMove,https://lichess.org/5GwitOSh/black#62,,True,https://lichess.org/training/TQkou,6,6,Queen_above_King
I8XXV,rn3b1r/pp2pk2/2pq1np1/3pN2p/3P3P/3Q4/PPP2PP1/RNB1K2R b KQ - 1 10,f7g7 d3g6,455,113,90,598,mate mateIn1 oneMove opening,https://lichess.org/31WS19fK/black#20,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,True,https://lichess.org/training/I8XXV,6,6,Queen_below_King
HFgV4,r1b2qk1/bpp3pp/p3p3/3pP1P1/1P5P/P2B4/1BP1Kr2/R2Q1R2 w - - 3 20,f1f2 f8f2,462,96,100,296,mate mateIn1 middlegame oneMove,https://lichess.org/IFsBT36g#39,,True,https://lichess.org/training/HFgV4,4,1,Queen_right_King
lM1Tj,rq5r/2pb1p2/p1np1k1p/1p1Bp1p1/4P3/P1NP1Q1P/1PP2PP1/2KR3R b - - 1 16,f6g7 f3f7,464,115,82,241,mate mateIn1 middlegame oneMove,https://lichess.org/KeklJaUt/black#32,Italian_Game Italian_Game_Giuoco_Pianissimo,True,https://lichess.org/training/lM1Tj,6,6,Queen_left_King
9m9FP,3r1k2/2r2pp1/3p1b1p/p1qBpP1Q/1pp5/2P4R/PP3PPP/3R2K1 b - - 5 27,f8e7 h5f7,470,99,75,130,mate mateIn1 middlegame oneMove,https://lichess.org/k5og7HrQ/black#54,,True,https://lichess.org/training/9m9FP,4,6,Queen_right_King
Hbmqx,8/p4p1p/1b3qpk/3B4/4P3/P2Q2BP/5rK1/7R w - - 0 40,g3f2 f6f2,471,86,100,284,endgame mate mateIn1 oneMove,https://lichess.org/XWcu006K#79,,True,https://lichess.org/training/Hbmqx,6,1,Queen_left_King
kgxZ5,r2q1b1r/4kppp/p3Bn2/1p6/8/2p5/PP2QPPP/R1B1R1K1 b - - 0 17,f7e6 e2e6,473,103,65,131,mate mateIn1 middlegame oneMove,https://lichess.org/rGHIGs27/black#34,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation,True,https://lichess.org/training/kgxZ5,4,6,Queen_below_King
FtzTw,1r3rk1/5pp1/1q1p3p/4p3/2B1b1Pb/P4Q1P/1PP2PK1/R1B4R w - - 0 21,f3e4 b6f2,477,93,100,236,mate mateIn1 middlegame oneMove,https://lichess.org/l2S3fpG3#41,,True,https://lichess.org/training/FtzTw,6,1,Queen_left_King
isILi,rnb1k2r/pppp1ppp/8/2q1p3/4P1n1/2NPBN2/PPP2KPP/R2Q1B1R w kq - 5 8,f2e2 c5e3,484,110,96,353,mate mateIn1 oneMove opening,https://lichess.org/mdQZIYVk#15,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,True,https://lichess.org/training/isILi,4,1,Queen_above_King
JxSe9,3k4/2pp4/1p4N1/8/8/Q1P1Pb2/5P2/4K2q w - - 1 36,e1d2 h1d1,485,102,97,467,endgame mate mateIn1 oneMove,https://lichess.org/pmGGzyAS#71,,True,https://lichess.org/training/JxSe9,3,1,Queen_below_King
uhnH4,r2q2Nr/bpp1kp2/p2p3p/P3p3/1PBnP3/3P1Q1P/2P2PP1/R3K2R b KQ - 2 15,h8g8 f3f7,485,102,100,518,mate mateIn1 middlegame oneMove,https://lichess.org/pSYXuJ7B/black#30,Italian_Game Italian_Game_Evans_Gambit_Declined,True,https://lichess.org/training/uhnH4,4,6,Queen_right_King
3OHz4,1r1q1b1r/1b1k4/p1p1pp1n/1pN3pB/2pP2Q1/P3P3/1P3PPP/R3K1NR b KQ - 3 14,d7e7 g4e6,490,109,89,577,mate mateIn1 middlegame oneMove,https://lichess.org/lENhmUIu/black#28,Slav_Defense Slav_Defense_Other_variations,True,https://lichess.org/training/3OHz4,4,6,Queen_below_King
9UEDu,rn1q1r2/ppp2kpp/1b1pbn2/4p1N1/4P3/1QP5/PP1N1PPP/R1B2RK1 b - - 4 10,f7e7 b3e6,491,105,90,365,mate mateIn1 oneMove opening,https://lichess.org/EGcCxYBb/black#20,Bishops_Opening Bishops_Opening_Boi_Variation,True,https://lichess.org/training/9UEDu,4,6,Queen_below_King
1Gzgx,r1b4r/ppp2pk1/2np3p/4p1q1/2B1P1P1/2NP1Q2/PPP2P2/R3K2R b KQ - 1 13,c8g4 f3f7,492,90,100,191,mate mateIn1 middlegame oneMove,https://lichess.org/Tm9VfiVe/black#26,Italian_Game Italian_Game_Paris_Defense,True,https://lichess.org/training/1Gzgx,6,6,Queen_left_King
